match_id,batting_team,partnership,runs_off_bat,batter1,batter1_runs,batter2,batter2_runs,innings,from_node,to_node,Winner
1229326,Southern Vipers,GL Adams & DN Wyatt,91.0,GL Adams,37.0,DN Wyatt,54.0,2.0,GL Adams,DN Wyatt,Southern Vipers
1229326,Southern Vipers,ME Bouchier & CE Dean,39.0,ME Bouchier,16.0,CE Dean,23.0,2.0,ME Bouchier,CE Dean,Southern Vipers
1229326,Southern Vipers,ME Bouchier & DN Wyatt,29.0,ME Bouchier,17.0,DN Wyatt,12.0,2.0,DN Wyatt,ME Bouchier,Southern Vipers
1229326,Southern Vipers,PJ Scholfield & CE Dean,27.0,PJ Scholfield,23.0,CE Dean,4.0,2.0,CE Dean,PJ Scholfield,Southern Vipers
1229330,Southern Vipers,CE Dean & CE Rudd,17.0,CE Dean,12.0,CE Rudd,5.0,1.0,CE Rudd,CE Dean,Southern Vipers
1229330,Southern Vipers,E Windsor & CE Dean,25.0,E Windsor,14.0,CE Dean,11.0,1.0,CE Dean,E Windsor,Southern Vipers
1229330,Southern Vipers,EM McCaughan & CE Dean,12.0,EM McCaughan,5.0,CE Dean,7.0,1.0,EM McCaughan,CE Dean,Southern Vipers
1229330,Southern Vipers,GL Adams & CE Dean,7.0,GL Adams,3.0,CE Dean,4.0,1.0,GL Adams,CE Dean,Southern Vipers
1229330,Southern Vipers,GL Adams & DN Wyatt,89.0,GL Adams,36.0,DN Wyatt,53.0,1.0,GL Adams,DN Wyatt,Southern Vipers
1229330,Southern Vipers,ME Bouchier & GL Adams,32.0,ME Bouchier,16.0,GL Adams,16.0,1.0,ME Bouchier,GL Adams,Southern Vipers
1229330,Southern Vipers,PJ Scholfield & CE Dean,18.0,PJ Scholfield,9.0,CE Dean,9.0,1.0,PJ Scholfield,CE Dean,Southern Vipers
1229330,Southern Vipers,TG Norris & CE Dean,27.0,TG Norris,10.0,CE Dean,17.0,1.0,TG Norris,CE Dean,Southern Vipers
1229332,Thunder,E Threlkeld & EL Lamb,11.0,E Threlkeld,7.0,EL Lamb,4.0,1.0,EL Lamb,E Threlkeld,Central Sparks
1229332,Thunder,HE Jones & Olivia Thomas,4.0,HE Jones,3.0,Olivia Thomas,1.0,1.0,Olivia Thomas,HE Jones,Central Sparks
1229332,Thunder,KL Cross & N Brown,15.0,KL Cross,3.0,N Brown,12.0,1.0,KL Cross,N Brown,Central Sparks
1229332,Thunder,N Brown & EL Lamb,5.0,N Brown,3.0,EL Lamb,2.0,1.0,EL Lamb,N Brown,Central Sparks
1229332,Thunder,N Brown & S Ecclestone,34.0,N Brown,20.0,S Ecclestone,14.0,1.0,S Ecclestone,N Brown,Central Sparks
1229332,Thunder,Olivia Thomas & KL Cross,51.0,Olivia Thomas,15.0,KL Cross,36.0,1.0,Olivia Thomas,KL Cross,Central Sparks
1229332,Thunder,S Turner & KL Cross,7.0,S Turner,1.0,KL Cross,6.0,1.0,S Turner,KL Cross,Central Sparks
1229334,Thunder,A Hartley & R Duckworth,5.0,A Hartley,5.0,R Duckworth,0.0,1.0,R Duckworth,A Hartley,Central Sparks
1229334,Thunder,E Threlkeld & GEB Boyce,1.0,E Threlkeld,0.0,GEB Boyce,1.0,1.0,E Threlkeld,GEB Boyce,Central Sparks
1229334,Thunder,L Heap & R Duckworth,1.0,L Heap,0.0,R Duckworth,1.0,1.0,L Heap,R Duckworth,Central Sparks
1229334,Thunder,L Jackson & GEB Boyce,6.0,L Jackson,1.0,GEB Boyce,5.0,1.0,L Jackson,GEB Boyce,Central Sparks
1229334,Thunder,L Marshall & GEB Boyce,46.0,L Marshall,25.0,GEB Boyce,21.0,1.0,GEB Boyce,L Marshall,Central Sparks
1229334,Thunder,N Brown & E Threlkeld,40.0,N Brown,18.0,E Threlkeld,22.0,1.0,N Brown,E Threlkeld,Central Sparks
1229334,Thunder,N Brown & R Duckworth,13.0,N Brown,9.0,R Duckworth,4.0,1.0,R Duckworth,N Brown,Central Sparks
1229334,Thunder,Olivia Thomas & R Duckworth,1.0,Olivia Thomas,0.0,R Duckworth,1.0,1.0,Olivia Thomas,R Duckworth,Central Sparks
1229334,Thunder,R Duckworth & AE Dyson,33.0,R Duckworth,12.0,AE Dyson,21.0,1.0,R Duckworth,AE Dyson,Central Sparks
1229337,Southern Vipers,AZ Monaghan & TG Norris,1.0,AZ Monaghan,1.0,TG Norris,0.0,1.0,TG Norris,AZ Monaghan,Southern Vipers
1229337,Southern Vipers,CE Dean & CE Rudd,30.0,CE Dean,12.0,CE Rudd,18.0,1.0,CE Dean,CE Rudd,Southern Vipers
1229337,Southern Vipers,PJ Scholfield & CE Dean,22.0,PJ Scholfield,13.0,CE Dean,9.0,1.0,CE Dean,PJ Scholfield,Southern Vipers
1229337,Southern Vipers,CM Taylor & AZ Monaghan,1.0,CM Taylor,1.0,AZ Monaghan,0.0,1.0,AZ Monaghan,CM Taylor,Southern Vipers
1229337,Southern Vipers,ER Chandler & AZ Monaghan,6.0,ER Chandler,5.0,AZ Monaghan,1.0,1.0,AZ Monaghan,ER Chandler,Southern Vipers
1229337,Southern Vipers,GL Adams & EM McCaughan,81.0,GL Adams,44.0,EM McCaughan,37.0,1.0,EM McCaughan,GL Adams,Southern Vipers
1229337,Southern Vipers,ME Bouchier & CE Dean,15.0,ME Bouchier,8.0,CE Dean,7.0,1.0,CE Dean,ME Bouchier,Southern Vipers
1229337,Southern Vipers,ME Bouchier & EM McCaughan,33.0,ME Bouchier,20.0,EM McCaughan,13.0,1.0,EM McCaughan,ME Bouchier,Southern Vipers
1229337,Southern Vipers,TG Norris & CE Rudd,10.0,TG Norris,7.0,CE Rudd,3.0,1.0,CE Rudd,TG Norris,Southern Vipers
1229338,Thunder,A Hartley & AE Dyson,36.0,A Hartley,14.0,AE Dyson,22.0,2.0,A Hartley,AE Dyson,Northern Diamonds
1229338,Thunder,DL Collins & L Jackson,25.0,DL Collins,18.0,L Jackson,7.0,2.0,L Jackson,DL Collins,Northern Diamonds
1229338,Thunder,E Threlkeld & L Jackson,19.0,E Threlkeld,16.0,L Jackson,3.0,2.0,L Jackson,E Threlkeld,Northern Diamonds
1229338,Thunder,L Heap & AE Dyson,18.0,L Heap,15.0,AE Dyson,3.0,2.0,AE Dyson,L Heap,Northern Diamonds
1229338,Thunder,L Jackson & L Marshall,17.0,L Jackson,2.0,L Marshall,15.0,2.0,L Jackson,L Marshall,Northern Diamonds
1229338,Thunder,L Marshall & GEB Boyce,5.0,L Marshall,5.0,GEB Boyce,0.0,2.0,GEB Boyce,L Marshall,Northern Diamonds
1229338,Thunder,N Brown & L Jackson,8.0,N Brown,5.0,L Jackson,3.0,2.0,L Jackson,N Brown,Northern Diamonds
1229338,Thunder,R Duckworth & L Jackson,9.0,R Duckworth,2.0,L Jackson,7.0,2.0,R Duckworth,L Jackson,Northern Diamonds
1229340,Southern Vipers,AZ Monaghan & CE Rudd,24.0,AZ Monaghan,5.0,CE Rudd,19.0,1.0,AZ Monaghan,CE Rudd,Southern Vipers
1229340,Southern Vipers,GL Adams & CE Dean,62.0,GL Adams,23.0,CE Dean,39.0,1.0,GL Adams,CE Dean,Southern Vipers
1229340,Southern Vipers,CE Rudd & GL Adams,1.0,CE Rudd,0.0,GL Adams,1.0,1.0,CE Rudd,GL Adams,Southern Vipers
1229340,Southern Vipers,CM Taylor & AZ Monaghan,12.0,CM Taylor,9.0,AZ Monaghan,3.0,1.0,AZ Monaghan,CM Taylor,Southern Vipers
1229340,Southern Vipers,CM Taylor & PAC Cowdrill,7.0,CM Taylor,3.0,PAC Cowdrill,4.0,1.0,CM Taylor,PAC Cowdrill,Southern Vipers
1229340,Southern Vipers,E Windsor & GL Adams,41.0,E Windsor,14.0,GL Adams,27.0,1.0,E Windsor,GL Adams,Southern Vipers
1229340,Southern Vipers,GL Adams & EM McCaughan,10.0,GL Adams,2.0,EM McCaughan,8.0,1.0,GL Adams,EM McCaughan,Southern Vipers
1229340,Southern Vipers,GL Adams & PJ Scholfield,30.0,GL Adams,22.0,PJ Scholfield,8.0,1.0,PJ Scholfield,GL Adams,Southern Vipers
1229340,Southern Vipers,ME Bouchier & GL Adams,32.0,ME Bouchier,18.0,GL Adams,14.0,1.0,GL Adams,ME Bouchier,Southern Vipers
1229342,Southern Vipers,GL Adams & EM McCaughan,137.0,GL Adams,74.0,EM McCaughan,63.0,1.0,EM McCaughan,GL Adams,Southern Vipers
1229342,Southern Vipers,ME Bouchier & GL Adams,130.0,ME Bouchier,50.0,GL Adams,80.0,1.0,ME Bouchier,GL Adams,Southern Vipers
1229344,Thunder,A Hartley & R Duckworth,5.0,A Hartley,3.0,R Duckworth,2.0,1.0,R Duckworth,A Hartley,Thunder
1229344,Thunder,DL Collins & N Brown,17.0,DL Collins,7.0,N Brown,10.0,1.0,DL Collins,N Brown,Thunder
1229344,Thunder,E Threlkeld & GEB Boyce,17.0,E Threlkeld,4.0,GEB Boyce,13.0,1.0,E Threlkeld,GEB Boyce,Thunder
1229344,Thunder,L Jackson & GEB Boyce,5.0,L Jackson,0.0,GEB Boyce,5.0,1.0,L Jackson,GEB Boyce,Thunder
1229344,Thunder,HE Jones & A Hartley,5.0,HE Jones,4.0,A Hartley,1.0,1.0,A Hartley,HE Jones,Thunder
1229344,Thunder,L Heap & R Duckworth,1.0,L Heap,1.0,R Duckworth,0.0,1.0,R Duckworth,L Heap,Thunder
1229344,Thunder,L Marshall & GEB Boyce,12.0,L Marshall,11.0,GEB Boyce,1.0,1.0,GEB Boyce,L Marshall,Thunder
1229344,Thunder,N Brown & GEB Boyce,20.0,N Brown,8.0,GEB Boyce,12.0,1.0,N Brown,GEB Boyce,Thunder
1229344,Thunder,R Duckworth & AE Dyson,12.0,R Duckworth,8.0,AE Dyson,4.0,1.0,AE Dyson,R Duckworth,Thunder
1229344,Thunder,N Brown & R Duckworth,51.0,N Brown,34.0,R Duckworth,17.0,1.0,R Duckworth,N Brown,Thunder
1229346,Southern Vipers,CE Rudd & E Windsor,69.0,CE Rudd,35.0,E Windsor,34.0,2.0,E Windsor,CE Rudd,Southern Vipers
1229346,Southern Vipers,E Windsor & PJ Scholfield,2.0,E Windsor,1.0,PJ Scholfield,1.0,2.0,E Windsor,PJ Scholfield,Southern Vipers
1229346,Southern Vipers,GL Adams & EM McCaughan,36.0,GL Adams,25.0,EM McCaughan,11.0,2.0,EM McCaughan,GL Adams,Southern Vipers
1229346,Southern Vipers,ME Bouchier & GL Adams,26.0,ME Bouchier,10.0,GL Adams,16.0,2.0,ME Bouchier,GL Adams,Southern Vipers
1229346,Southern Vipers,PJ Scholfield & CE Dean,54.0,PJ Scholfield,30.0,CE Dean,24.0,2.0,CE Dean,PJ Scholfield,Southern Vipers
1229346,Southern Vipers,TG Norris & E Windsor,17.0,TG Norris,5.0,E Windsor,12.0,2.0,TG Norris,E Windsor,Southern Vipers
1229347,Thunder,A Clarke & GEB Boyce,1.0,A Clarke,1.0,GEB Boyce,0.0,1.0,GEB Boyce,A Clarke,Northern Diamonds
1229347,Thunder,R Duckworth & AE Dyson,8.0,R Duckworth,6.0,AE Dyson,2.0,1.0,AE Dyson,R Duckworth,Northern Diamonds
1229347,Thunder,E Threlkeld & GEB Boyce,21.0,E Threlkeld,13.0,GEB Boyce,8.0,1.0,GEB Boyce,E Threlkeld,Northern Diamonds
1229347,Thunder,HE Jones & R Duckworth,5.0,HE Jones,2.0,R Duckworth,3.0,1.0,HE Jones,R Duckworth,Northern Diamonds
1229347,Thunder,L Heap & R Duckworth,21.0,L Heap,12.0,R Duckworth,9.0,1.0,R Duckworth,L Heap,Northern Diamonds
1229347,Thunder,L Marshall & GEB Boyce,4.0,L Marshall,0.0,GEB Boyce,4.0,1.0,L Marshall,GEB Boyce,Northern Diamonds
1229347,Thunder,N Brown & GEB Boyce,49.0,N Brown,32.0,GEB Boyce,17.0,1.0,GEB Boyce,N Brown,Northern Diamonds
1229347,Thunder,R Duckworth & DL Collins,3.0,R Duckworth,1.0,DL Collins,2.0,1.0,R Duckworth,DL Collins,Northern Diamonds
1229350,Southern Vipers,GL Adams & CE Dean,5.0,GL Adams,3.0,CE Dean,2.0,1.0,CE Dean,GL Adams,Southern Vipers
1229350,Southern Vipers,CM Taylor & LK Bell,7.0,CM Taylor,1.0,LK Bell,6.0,1.0,CM Taylor,LK Bell,Southern Vipers
1229350,Southern Vipers,E Windsor & AZ Monaghan,3.0,E Windsor,2.0,AZ Monaghan,1.0,1.0,AZ Monaghan,E Windsor,Southern Vipers
1229350,Southern Vipers,CE Rudd & E Windsor,7.0,CE Rudd,1.0,E Windsor,6.0,1.0,CE Rudd,E Windsor,Southern Vipers
1229350,Southern Vipers,E Windsor & CM Taylor,22.0,E Windsor,16.0,CM Taylor,6.0,1.0,CM Taylor,E Windsor,Southern Vipers
1229350,Southern Vipers,E Windsor & GL Adams,6.0,E Windsor,2.0,GL Adams,4.0,1.0,E Windsor,GL Adams,Southern Vipers
1229350,Southern Vipers,GL Adams & EM McCaughan,92.0,GL Adams,57.0,EM McCaughan,35.0,1.0,EM McCaughan,GL Adams,Southern Vipers
1229350,Southern Vipers,ME Bouchier & GL Adams,44.0,ME Bouchier,28.0,GL Adams,16.0,1.0,GL Adams,ME Bouchier,Southern Vipers
1229350,Southern Vipers,GL Adams & PJ Scholfield,3.0,GL Adams,0.0,PJ Scholfield,3.0,1.0,GL Adams,PJ Scholfield,Southern Vipers
1229350,Southern Vipers,TG Norris & E Windsor,16.0,TG Norris,5.0,E Windsor,11.0,1.0,TG Norris,E Windsor,Southern Vipers
1252265,Thunder,DL Collins & KL Cross,8.0,DL Collins,4.0,KL Cross,4.0,1.0,DL Collins,KL Cross,Western Storm
1252265,Thunder,E Threlkeld & EL Lamb,6.0,E Threlkeld,0.0,EL Lamb,6.0,1.0,E Threlkeld,EL Lamb,Western Storm
1252265,Thunder,EL Lamb & GEB Boyce,19.0,EL Lamb,8.0,GEB Boyce,11.0,1.0,EL Lamb,GEB Boyce,Western Storm
1252265,Thunder,N Brown & EL Lamb,12.0,N Brown,8.0,EL Lamb,4.0,1.0,EL Lamb,N Brown,Western Storm
1252265,Thunder,P Cleary & EL Lamb,162.0,P Cleary,79.0,EL Lamb,83.0,1.0,P Cleary,EL Lamb,Western Storm
1252265,Thunder,S Ecclestone & EL Lamb,35.0,S Ecclestone,15.0,EL Lamb,20.0,1.0,S Ecclestone,EL Lamb,Western Storm
1252265,Thunder,S Ecclestone & KL Cross,27.0,S Ecclestone,22.0,KL Cross,5.0,1.0,KL Cross,S Ecclestone,Western Storm
1252267,Southern Vipers,CE Dean & GA Elwiss,14.0,CE Dean,12.0,GA Elwiss,2.0,2.0,GA Elwiss,CE Dean,Southern Vipers
1252267,Southern Vipers,GA Elwiss & ME Bouchier,15.0,GA Elwiss,8.0,ME Bouchier,7.0,2.0,ME Bouchier,GA Elwiss,Southern Vipers
1252267,Southern Vipers,GL Adams & DN Wyatt,56.0,GL Adams,28.0,DN Wyatt,28.0,2.0,GL Adams,DN Wyatt,Southern Vipers
