batting_team,partnership,batter1,batter2,batter1_runs,batter2_runs,from_node,to_node
South East Stars,R MacDonald-Gay & Emma Jones,R MacDonald-Gay,Emma Jones,0,8,R MacDonald-Gay,Emma Jones
South East Stars,R MacDonald-Gay & K Moore,R MacDonald-Gay,K Moore,0,10,R MacDonald-Gay,K Moore
South East Stars,R Southby & FR Davies,R Southby,FR Davies,2,2,R Southby,FR Davies
South East Stars,R Southby & HV Jones,R Southby,HV Jones,5,0,HV Jones,R Southby
South East Stars,R Southby & MS Belt,R Southby,MS Belt,3,5,R Southby,MS Belt
South East Stars,R Southby & NE Farrant,R Southby,NE Farrant,11,15,R Southby,NE Farrant
South East Stars,R Southby & SIR Dunkley,R Southby,SIR Dunkley,6,30,R Southby,SIR Dunkley
South East Stars,SE Rowe & A Capsey,SE Rowe,A Capsey,1,0,A Capsey,SE Rowe
South East Stars,SE Rowe & A Cranstone,SE Rowe,A Cranstone,8,0,A Cranstone,SE Rowe
South East Stars,SE Rowe & SIR Dunkley,SE Rowe,SIR Dunkley,22,33,SE Rowe,SIR Dunkley
South East Stars,SIR Dunkley & A Capsey,SIR Dunkley,A Capsey,22,18,A Capsey,SIR Dunkley
South East Stars,SIR Dunkley & A Cranstone,SIR Dunkley,A Cranstone,34,15,A Cranstone,SIR Dunkley
South East Stars,SIR Dunkley & BF Smith,SIR Dunkley,BF Smith,0,12,SIR Dunkley,BF Smith
South East Stars,SIR Dunkley & GJ Gibbs,SIR Dunkley,GJ Gibbs,17,31,SIR Dunkley,GJ Gibbs
South East Stars,SIR Dunkley & NE Farrant,SIR Dunkley,NE Farrant,21,12,NE Farrant,SIR Dunkley
Southern Vipers,AZ Monaghan & CE Rudd,AZ Monaghan,CE Rudd,5,19,AZ Monaghan,CE Rudd
Southern Vipers,AZ Monaghan & TG Norris,AZ Monaghan,TG Norris,1,0,TG Norris,AZ Monaghan
Southern Vipers,CE Dean & CE Rudd,CE Dean,CE Rudd,24,23,CE Rudd,CE Dean
Southern Vipers,CE Dean & DN Wyatt,CE Dean,DN Wyatt,2,1,DN Wyatt,CE Dean
Southern Vipers,CE Dean & GA Elwiss,CE Dean,GA Elwiss,12,2,GA Elwiss,CE Dean
Southern Vipers,CE Rudd & DN Wyatt,CE Rudd,DN Wyatt,10,39,CE Rudd,DN Wyatt
Southern Vipers,CE Rudd & E Windsor,CE Rudd,E Windsor,49,59,CE Rudd,E Windsor
Southern Vipers,CE Rudd & GL Adams,CE Rudd,GL Adams,0,1,CE Rudd,GL Adams
Southern Vipers,CM Taylor & AZ Monaghan,CM Taylor,AZ Monaghan,10,3,AZ Monaghan,CM Taylor
Southern Vipers,CM Taylor & LK Bell,CM Taylor,LK Bell,1,6,CM Taylor,LK Bell
Southern Vipers,CM Taylor & PAC Cowdrill,CM Taylor,PAC Cowdrill,3,4,CM Taylor,PAC Cowdrill
Southern Vipers,DN Wyatt & E Windsor,DN Wyatt,E Windsor,13,14,DN Wyatt,E Windsor
Southern Vipers,E Windsor & AZ Monaghan,E Windsor,AZ Monaghan,6,1,AZ Monaghan,E Windsor
Southern Vipers,E Windsor & CE Dean,E Windsor,CE Dean,14,11,CE Dean,E Windsor
Southern Vipers,E Windsor & CM Taylor,E Windsor,CM Taylor,16,6,CM Taylor,E Windsor
Southern Vipers,E Windsor & EM McCaughan,E Windsor,EM McCaughan,2,8,E Windsor,EM McCaughan
Southern Vipers,E Windsor & GA Elwiss,E Windsor,GA Elwiss,1,0,GA Elwiss,E Windsor
Southern Vipers,E Windsor & GL Adams,E Windsor,GL Adams,16,31,E Windsor,GL Adams
Southern Vipers,E Windsor & PJ Scholfield,E Windsor,PJ Scholfield,22,34,E Windsor,PJ Scholfield
Southern Vipers,EM McCaughan & CE Dean,EM McCaughan,CE Dean,5,7,EM McCaughan,CE Dean
Southern Vipers,ER Chandler & AZ Monaghan,ER Chandler,AZ Monaghan,5,1,AZ Monaghan,ER Chandler
Southern Vipers,GA Elwiss & CE Rudd,GA Elwiss,CE Rudd,2,1,CE Rudd,GA Elwiss
Southern Vipers,GA Elwiss & DN Wyatt,GA Elwiss,DN Wyatt,45,38,DN Wyatt,GA Elwiss
Southern Vipers,GA Elwiss & EM McCaughan,GA Elwiss,EM McCaughan,0,5,GA Elwiss,EM McCaughan
Southern Vipers,GA Elwiss & LK Bell,GA Elwiss,LK Bell,8,1,LK Bell,GA Elwiss
Southern Vipers,GA Elwiss & ME Bouchier,GA Elwiss,ME Bouchier,22,23,GA Elwiss,ME Bouchier
Southern Vipers,GA Elwiss & TG Norris,GA Elwiss,TG Norris,2,3,GA Elwiss,TG Norris
Southern Vipers,GH Lewis & E Windsor,GH Lewis,E Windsor,23,7,E Windsor,GH Lewis
Southern Vipers,GH Lewis & EM McCaughan,GH Lewis,EM McCaughan,16,10,EM McCaughan,GH Lewis
Southern Vipers,GH Lewis & GA Elwiss,GH Lewis,GA Elwiss,57,43,GA Elwiss,GH Lewis
Southern Vipers,GH Lewis & ME Bouchier,GH Lewis,ME Bouchier,1,13,GH Lewis,ME Bouchier
Southern Vipers,GL Adams & CE Dean,GL Adams,CE Dean,29,45,GL Adams,CE Dean
Southern Vipers,GL Adams & DN Wyatt,GL Adams,DN Wyatt,135,181,GL Adams,DN Wyatt
Southern Vipers,GL Adams & EM McCaughan,GL Adams,EM McCaughan,212,189,EM McCaughan,GL Adams
Southern Vipers,GL Adams & GA Elwiss,GL Adams,GA Elwiss,74,99,GL Adams,GA Elwiss
Southern Vipers,GL Adams & PJ Scholfield,GL Adams,PJ Scholfield,22,11,PJ Scholfield,GL Adams
Southern Vipers,ME Bouchier & CE Dean,ME Bouchier,CE Dean,24,30,ME Bouchier,CE Dean
Southern Vipers,ME Bouchier & DN Wyatt,ME Bouchier,DN Wyatt,45,53,ME Bouchier,DN Wyatt
Southern Vipers,ME Bouchier & EM McCaughan,ME Bouchier,EM McCaughan,43,17,EM McCaughan,ME Bouchier
Southern Vipers,ME Bouchier & GL Adams,ME Bouchier,GL Adams,230,229,GL Adams,ME Bouchier
Southern Vipers,PJ Scholfield & CE Dean,PJ Scholfield,CE Dean,89,66,CE Dean,PJ Scholfield
Southern Vipers,PJ Scholfield & EM McCaughan,PJ Scholfield,EM McCaughan,2,8,PJ Scholfield,EM McCaughan
Southern Vipers,PJ Scholfield & GA Elwiss,PJ Scholfield,GA Elwiss,44,42,GA Elwiss,PJ Scholfield
Southern Vipers,TG Norris & CE Dean,TG Norris,CE Dean,10,17,TG Norris,CE Dean
Southern Vipers,TG Norris & CE Rudd,TG Norris,CE Rudd,7,3,CE Rudd,TG Norris
Southern Vipers,TG Norris & DN Wyatt,TG Norris,DN Wyatt,1,0,DN Wyatt,TG Norris
Southern Vipers,TG Norris & E Windsor,TG Norris,E Windsor,50,58,TG Norris,E Windsor
Southern Vipers,TG Norris & PJ Scholfield,TG Norris,PJ Scholfield,3,0,PJ Scholfield,TG Norris
Sunrisers,AD Carr & AJ Macleod,AD Carr,AJ Macleod,34,8,AJ Macleod,AD Carr
Sunrisers,AD Carr & ND Dattani,AD Carr,ND Dattani,9,2,ND Dattani,AD Carr
Sunrisers,AJ Macleod & CL Griffith,AJ Macleod,CL Griffith,113,182,AJ Macleod,CL Griffith
Sunrisers,AJ Macleod & G Scrivens,AJ Macleod,G Scrivens,36,28,G Scrivens,AJ Macleod
Sunrisers,AJ Macleod & M Rogers,AJ Macleod,M Rogers,12,3,M Rogers,AJ Macleod
Sunrisers,AJ Macleod & MK Villiers,AJ Macleod,MK Villiers,2,0,MK Villiers,AJ Macleod
Sunrisers,CL Griffith & AD Carr,CL Griffith,AD Carr,1,6,CL Griffith,AD Carr
Sunrisers,CL Griffith & FC Wilson,CL Griffith,FC Wilson,0,5,CL Griffith,FC Wilson
Sunrisers,CL Griffith & G Scrivens,CL Griffith,G Scrivens,110,87,G Scrivens,CL Griffith
Sunrisers,E Thorpe & KL Midwood,E Thorpe,KL Midwood,11,3,KL Midwood,E Thorpe
Sunrisers,FC Wilson & AD Carr,FC Wilson,AD Carr,30,30,FC Wilson,AD Carr
Sunrisers,FC Wilson & AJ Macleod,FC Wilson,AJ Macleod,88,70,AJ Macleod,FC Wilson
Sunrisers,FC Wilson & KL Midwood,FC Wilson,KL Midwood,0,5,FC Wilson,KL Midwood
Sunrisers,FC Wilson & KS Castle,FC Wilson,KS Castle,18,11,KS Castle,FC Wilson
Sunrisers,FC Wilson & M Rogers,FC Wilson,M Rogers,6,3,M Rogers,FC Wilson
Sunrisers,FC Wilson & MK Villiers,FC Wilson,MK Villiers,8,1,MK Villiers,FC Wilson
Sunrisers,FC Wilson & ND Dattani,FC Wilson,ND Dattani,39,27,ND Dattani,FC Wilson
Sunrisers,G Scrivens & AD Carr,G Scrivens,AD Carr,2,6,G Scrivens,AD Carr
Sunrisers,G Scrivens & GKS Gole,G Scrivens,GKS Gole,2,4,G Scrivens,GKS Gole
Sunrisers,G Scrivens & J Gardner,G Scrivens,J Gardner,104,85,J Gardner,G Scrivens
Sunrisers,G Scrivens & MK Villiers,G Scrivens,MK Villiers,8,10,G Scrivens,MK Villiers
Sunrisers,G Scrivens & ND Dattani,G Scrivens,ND Dattani,32,30,ND Dattani,G Scrivens
Sunrisers,G Scrivens & Sonali Patel,G Scrivens,Sonali Patel,5,0,Sonali Patel,G Scrivens
Sunrisers,GKS Gole & AD Carr,GKS Gole,AD Carr,7,1,AD Carr,GKS Gole
Sunrisers,H Brown & ND Dattani,H Brown,ND Dattani,6,14,H Brown,ND Dattani
Sunrisers,J Gardner & AD Carr,J Gardner,AD Carr,25,22,AD Carr,J Gardner
Sunrisers,J Gardner & AJ Macleod,J Gardner,AJ Macleod,0,4,J Gardner,AJ Macleod
Sunrisers,J Gardner & FC Wilson,J Gardner,FC Wilson,3,11,J Gardner,FC Wilson
Sunrisers,J Gardner & H Brown,J Gardner,H Brown,14,10,H Brown,J Gardner
Sunrisers,K Speed & KL Midwood,K Speed,KL Midwood,2,5,K Speed,KL Midwood
Sunrisers,K Speed & KS Castle,K Speed,KS Castle,1,0,KS Castle,K Speed
Sunrisers,KJ Wolfe & E Thorpe,KJ Wolfe,E Thorpe,3,12,KJ Wolfe,E Thorpe
Sunrisers,KJ Wolfe & J Gardner,KJ Wolfe,J Gardner,0,7,KJ Wolfe,J Gardner
Sunrisers,KJ Wolfe & KL Midwood,KJ Wolfe,KL Midwood,7,2,KL Midwood,KJ Wolfe
Sunrisers,KJ Wolfe & KS Castle,KJ Wolfe,KS Castle,2,3,KJ Wolfe,KS Castle
Sunrisers,KL Coppack & GKS Gole,KL Coppack,GKS Gole,4,4,KL Coppack,GKS Gole
Sunrisers,KL Coppack & J Gardner,KL Coppack,J Gardner,1,0,J Gardner,KL Coppack
Sunrisers,KL Coppack & KL Midwood,KL Coppack,KL Midwood,6,3,KL Midwood,KL Coppack
Sunrisers,KL Midwood & AD Carr,KL Midwood,AD Carr,1,4,KL Midwood,AD Carr
Sunrisers,KL Midwood & G Scrivens,KL Midwood,G Scrivens,12,26,KL Midwood,G Scrivens
Sunrisers,KL Midwood & J Gardner,KL Midwood,J Gardner,24,9,J Gardner,KL Midwood
Sunrisers,KS Castle & AD Carr,KS Castle,AD Carr,21,31,KS Castle,AD Carr
Sunrisers,KS Castle & G Scrivens,KS Castle,G Scrivens,4,4,KS Castle,G Scrivens
Sunrisers,KS Castle & GKS Gole,KS Castle,GKS Gole,10,25,KS Castle,GKS Gole
Sunrisers,KS Castle & J Gardner,KS Castle,J Gardner,58,75,KS Castle,J Gardner
Sunrisers,KS Castle & KL Midwood,KS Castle,KL Midwood,7,2,KL Midwood,KS Castle
Sunrisers,KS Castle & M Rogers,KS Castle,M Rogers,3,7,KS Castle,M Rogers
Sunrisers,KS Castle & MK Villiers,KS Castle,MK Villiers,20,18,MK Villiers,KS Castle
Sunrisers,KS Castle & ND Dattani,KS Castle,ND Dattani,44,36,ND Dattani,KS Castle
Sunrisers,KS Castle & Sonali Patel,KS Castle,Sonali Patel,10,15,KS Castle,Sonali Patel
Sunrisers,M Rogers & J Gardner,M Rogers,J Gardner,8,17,M Rogers,J Gardner
Sunrisers,MK Villiers & AD Carr,MK Villiers,AD Carr,25,14,AD Carr,MK Villiers
Sunrisers,MK Villiers & J Gardner,MK Villiers,J Gardner,22,16,J Gardner,MK Villiers
Sunrisers,MK Villiers & ND Dattani,MK Villiers,ND Dattani,70,76,MK Villiers,ND Dattani
Sunrisers,ND Dattani & AJ Macleod,ND Dattani,AJ Macleod,28,37,ND Dattani,AJ Macleod
Sunrisers,ND Dattani & CL Griffith,ND Dattani,CL Griffith,55,64,ND Dattani,CL Griffith
Sunrisers,Sonali Patel & J Gardner,Sonali Patel,J Gardner,1,0,J Gardner,Sonali Patel
Sunrisers,Sonali Patel & KJ Wolfe,Sonali Patel,KJ Wolfe,0,1,Sonali Patel,KJ Wolfe
Sunrisers,Sonali Patel & KL Midwood,Sonali Patel,KL Midwood,13,10,KL Midwood,Sonali Patel
Sunrisers,Sonali Patel & MK Villiers,Sonali Patel,MK Villiers,1,2,Sonali Patel,MK Villiers
Thunder,A Clarke & GEB Boyce,A Clarke,GEB Boyce,1,0,GEB Boyce,A Clarke
Thunder,A Hartley & AE Dyson,A Hartley,AE Dyson,14,22,A Hartley,AE Dyson
Thunder,A Hartley & DL Collins,A Hartley,DL Collins,4,0,DL Collins,A Hartley
Thunder,A Hartley & N Brown,A Hartley,N Brown,12,14,A Hartley,N Brown
Thunder,A Hartley & R Duckworth,A Hartley,R Duckworth,8,2,R Duckworth,A Hartley
Thunder,A Hartley & S Ecclestone,A Hartley,S Ecclestone,0,20,A Hartley,S Ecclestone
Thunder,AE Dyson & E Threlkeld,AE Dyson,E Threlkeld,13,15,AE Dyson,E Threlkeld
Thunder,AE Dyson & KL Cross,AE Dyson,KL Cross,6,17,AE Dyson,KL Cross
Thunder,AE Dyson & L Marshall,AE Dyson,L Marshall,3,8,AE Dyson,L Marshall
Thunder,D Mullan & GEB Boyce,D Mullan,GEB Boyce,8,13,D Mullan,GEB Boyce
Thunder,DL Collins & KL Cross,DL Collins,KL Cross,4,4,DL Collins,KL Cross
Thunder,DL Collins & L Jackson,DL Collins,L Jackson,18,7,L Jackson,DL Collins
Thunder,DL Collins & N Brown,DL Collins,N Brown,7,11,DL Collins,N Brown
Thunder,E Threlkeld & A Hartley,E Threlkeld,A Hartley,3,5,E Threlkeld,A Hartley
Thunder,E Threlkeld & D Mullan,E Threlkeld,D Mullan,4,0,D Mullan,E Threlkeld
Thunder,E Threlkeld & EL Lamb,E Threlkeld,EL Lamb,13,13,E Threlkeld,EL Lamb
Thunder,E Threlkeld & GEB Boyce,E Threlkeld,GEB Boyce,48,73,E Threlkeld,GEB Boyce
Thunder,E Threlkeld & L Jackson,E Threlkeld,L Jackson,40,22,L Jackson,E Threlkeld
Thunder,E Threlkeld & S Ecclestone,E Threlkeld,S Ecclestone,15,16,E Threlkeld,S Ecclestone
Thunder,EL Lamb & GEB Boyce,EL Lamb,GEB Boyce,91,71,GEB Boyce,EL Lamb
Thunder,EL Lamb & KL Cross,EL Lamb,KL Cross,11,21,EL Lamb,KL Cross
Thunder,GEB Boyce & P Cleary,GEB Boyce,P Cleary,33,11,P Cleary,GEB Boyce
Thunder,GEB Boyce & S Smale,GEB Boyce,S Smale,33,25,S Smale,GEB Boyce
Thunder,HE Jones & A Hartley,HE Jones,A Hartley,15,21,HE Jones,A Hartley
Thunder,HE Jones & DL Collins,HE Jones,DL Collins,2,3,HE Jones,DL Collins
Thunder,HE Jones & E Threlkeld,HE Jones,E Threlkeld,9,9,HE Jones,E Threlkeld
Thunder,HE Jones & KL Cross,HE Jones,KL Cross,2,0,KL Cross,HE Jones
Thunder,HE Jones & Olivia Thomas,HE Jones,Olivia Thomas,3,1,Olivia Thomas,HE Jones
Thunder,HE Jones & R Duckworth,HE Jones,R Duckworth,2,3,HE Jones,R Duckworth
Thunder,KL Cross & A Hartley,KL Cross,A Hartley,1,0,A Hartley,KL Cross
Thunder,KL Cross & GEB Boyce,KL Cross,GEB Boyce,29,7,GEB Boyce,KL Cross
Thunder,KL Cross & N Brown,KL Cross,N Brown,9,20,KL Cross,N Brown
Thunder,L Heap & AE Dyson,L Heap,AE Dyson,15,3,AE Dyson,L Heap
Thunder,L Heap & E Threlkeld,L Heap,E Threlkeld,19,10,E Threlkeld,L Heap
Thunder,L Heap & R Duckworth,L Heap,R Duckworth,13,10,R Duckworth,L Heap
Thunder,L Jackson & GEB Boyce,L Jackson,GEB Boyce,1,10,L Jackson,GEB Boyce
Thunder,L Jackson & KL Cross,L Jackson,KL Cross,4,9,L Jackson,KL Cross
Thunder,L Jackson & L Marshall,L Jackson,L Marshall,37,67,L Jackson,L Marshall
Thunder,L Marshall & DL Collins,L Marshall,DL Collins,11,8,DL Collins,L Marshall
Thunder,L Marshall & E Threlkeld,L Marshall,E Threlkeld,1,0,E Threlkeld,L Marshall
Thunder,L Marshall & GEB Boyce,L Marshall,GEB Boyce,46,26,GEB Boyce,L Marshall
Thunder,L Marshall & HE Jones,L Marshall,HE Jones,2,0,HE Jones,L Marshall
Thunder,L Marshall & KL Cross,L Marshall,KL Cross,15,17,L Marshall,KL Cross
Thunder,L Marshall & N Brown,L Marshall,N Brown,1,1,L Marshall,N Brown
Thunder,N Brown & E Threlkeld,N Brown,E Threlkeld,71,77,N Brown,E Threlkeld
Thunder,N Brown & EL Lamb,N Brown,EL Lamb,11,18,N Brown,EL Lamb
Thunder,N Brown & GEB Boyce,N Brown,GEB Boyce,48,55,N Brown,GEB Boyce
Thunder,N Brown & L Jackson,N Brown,L Jackson,5,3,L Jackson,N Brown
Thunder,N Brown & R Duckworth,N Brown,R Duckworth,43,21,R Duckworth,N Brown
Thunder,N Brown & S Ecclestone,N Brown,S Ecclestone,22,15,S Ecclestone,N Brown
Thunder,Olivia Thomas & KL Cross,Olivia Thomas,KL Cross,15,36,Olivia Thomas,KL Cross
Thunder,Olivia Thomas & R Duckworth,Olivia Thomas,R Duckworth,0,1,Olivia Thomas,R Duckworth
Thunder,P Cleary & E Threlkeld,P Cleary,E Threlkeld,1,2,P Cleary,E Threlkeld
Thunder,P Cleary & EL Lamb,P Cleary,EL Lamb,81,92,P Cleary,EL Lamb
Thunder,R Duckworth & AE Dyson,R Duckworth,AE Dyson,26,27,R Duckworth,AE Dyson
Thunder,R Duckworth & DL Collins,R Duckworth,DL Collins,1,2,R Duckworth,DL Collins
Thunder,R Duckworth & E Threlkeld,R Duckworth,E Threlkeld,1,1,R Duckworth,E Threlkeld
Thunder,R Duckworth & L Jackson,R Duckworth,L Jackson,2,7,R Duckworth,L Jackson
Thunder,S Ecclestone & EL Lamb,S Ecclestone,EL Lamb,15,20,S Ecclestone,EL Lamb
Thunder,S Ecclestone & GEB Boyce,S Ecclestone,GEB Boyce,12,9,GEB Boyce,S Ecclestone
Thunder,S Ecclestone & KL Cross,S Ecclestone,KL Cross,31,13,KL Cross,S Ecclestone
Thunder,S Ecclestone & S Turner,S Ecclestone,S Turner,7,2,S Turner,S Ecclestone
Thunder,S Turner & KL Cross,S Turner,KL Cross,1,6,S Turner,KL Cross
Western Storm,A Griffiths & GM Hennessy,A Griffiths,GM Hennessy,80,66,GM Hennessy,A Griffiths
Western Storm,A Griffiths & NAJ Wraith,A Griffiths,NAJ Wraith,3,0,NAJ Wraith,A Griffiths
Western Storm,B Gammon & SN Luff,B Gammon,SN Luff,0,1,B Gammon,SN Luff
Western Storm,C Nicholas & E Corney,C Nicholas,E Corney,13,6,E Corney,C Nicholas
Western Storm,C Nicholas & LA Parfitt,C Nicholas,LA Parfitt,22,16,LA Parfitt,C Nicholas
Western Storm,C Nicholas & SN Luff,C Nicholas,SN Luff,11,35,C Nicholas,SN Luff
Western Storm,C Skelton & N Harvey,C Skelton,N Harvey,13,3,N Harvey,C Skelton
Western Storm,DR Gibson & EM Edgcombe,DR Gibson,EM Edgcombe,14,1,EM Edgcombe,DR Gibson
Western Storm,DR Gibson & FMK Morris,DR Gibson,FMK Morris,20,10,FMK Morris,DR Gibson
Western Storm,DR Gibson & GM Hennessy,DR Gibson,GM Hennessy,19,30,DR Gibson,GM Hennessy
Western Storm,DR Gibson & KL George,DR Gibson,KL George,6,3,KL George,DR Gibson
Western Storm,DR Gibson & NAJ Wraith,DR Gibson,NAJ Wraith,12,14,DR Gibson,NAJ Wraith
Western Storm,E Corney & DR Gibson,E Corney,DR Gibson,1,9,E Corney,DR Gibson
Western Storm,E Corney & EM Edgcombe,E Corney,EM Edgcombe,3,6,E Corney,EM Edgcombe
Western Storm,E Corney & LA Parfitt,E Corney,LA Parfitt,3,0,LA Parfitt,E Corney
Western Storm,FMK Morris & A Shrubsole,FMK Morris,A Shrubsole,17,13,A Shrubsole,FMK Morris
Western Storm,FMK Morris & GM Hennessy,FMK Morris,GM Hennessy,12,5,GM Hennessy,FMK Morris
Western Storm,FMK Morris & LA Parfitt,FMK Morris,LA Parfitt,109,59,LA Parfitt,FMK Morris
Western Storm,GM Hennessy & SN Luff,GM Hennessy,SN Luff,133,135,GM Hennessy,SN Luff
Western Storm,HC Knight & FMK Morris,HC Knight,FMK Morris,81,56,FMK Morris,HC Knight
Western Storm,HC Knight & GM Hennessy,HC Knight,GM Hennessy,65,33,GM Hennessy,HC Knight
Western Storm,HC Knight & SN Luff,HC Knight,SN Luff,142,135,SN Luff,HC Knight
Western Storm,KL George & GM Hennessy,KL George,GM Hennessy,18,9,GM Hennessy,KL George
Western Storm,KL George & HC Knight,KL George,HC Knight,19,17,HC Knight,KL George
Western Storm,KL George & NAJ Wraith,KL George,NAJ Wraith,16,23,KL George,NAJ Wraith
Western Storm,L Filer & A Shrubsole,L Filer,A Shrubsole,6,31,L Filer,A Shrubsole
Western Storm,L Filer & S Hutchins,L Filer,S Hutchins,3,4,L Filer,S Hutchins
Western Storm,L Filer & SN Luff,L Filer,SN Luff,0,8,L Filer,SN Luff
Western Storm,LA Parfitt & HC Knight,LA Parfitt,HC Knight,46,65,LA Parfitt,HC Knight
Western Storm,LA Parfitt & N Holland,LA Parfitt,N Holland,12,0,N Holland,LA Parfitt
Western Storm,MJ Robbins & E Corney,MJ Robbins,E Corney,2,6,MJ Robbins,E Corney
Western Storm,MJ Robbins & L Filer,MJ Robbins,L Filer,4,5,MJ Robbins,L Filer
Western Storm,N Harvey & A Shrubsole,N Harvey,A Shrubsole,13,41,N Harvey,A Shrubsole
Western Storm,N Harvey & DR Gibson,N Harvey,DR Gibson,0,1,N Harvey,DR Gibson
Western Storm,N Harvey & MJ Robbins,N Harvey,MJ Robbins,9,3,MJ Robbins,N Harvey
Western Storm,N Harvey & NAJ Wraith,N Harvey,NAJ Wraith,16,11,NAJ Wraith,N Harvey
Western Storm,N Holland & E Corney,N Holland,E Corney,6,9,N Holland,E Corney
Western Storm,N Holland & S Hutchins,N Holland,S Hutchins,2,0,S Hutchins,N Holland
Western Storm,NAJ Wraith & A Shrubsole,NAJ Wraith,A Shrubsole,3,16,NAJ Wraith,A Shrubsole
Western Storm,NAJ Wraith & GM Hennessy,NAJ Wraith,GM Hennessy,14,9,GM Hennessy,NAJ Wraith
Western Storm,NAJ Wraith & HC Knight,NAJ Wraith,HC Knight,13,11,HC Knight,NAJ Wraith
Western Storm,NAJ Wraith & LA Parfitt,NAJ Wraith,LA Parfitt,4,5,NAJ Wraith,LA Parfitt
Western Storm,SN Luff & A Griffiths,SN Luff,A Griffiths,139,179,SN Luff,A Griffiths
Western Storm,SN Luff & C Skelton,SN Luff,C Skelton,25,30,SN Luff,C Skelton
Western Storm,SN Luff & DR Gibson,SN Luff,DR Gibson,77,52,DR Gibson,SN Luff
Western Storm,SN Luff & EM Edgcombe,SN Luff,EM Edgcombe,8,4,EM Edgcombe,SN Luff
Western Storm,SN Luff & FMK Morris,SN Luff,FMK Morris,44,80,SN Luff,FMK Morris
Western Storm,SN Luff & J Roberts,SN Luff,J Roberts,2,0,J Roberts,SN Luff
Western Storm,SN Luff & LA Parfitt,SN Luff,LA Parfitt,61,82,SN Luff,LA Parfitt
Western Storm,SN Luff & NAJ Wraith,SN Luff,NAJ Wraith,86,92,SN Luff,NAJ Wraith
