batting_team,partnership,batter1,batter2,partner_labels,net_runs,batter1_runs,batter2_runs,matches
Sunrisers,FC Wilson & AJ Macleod,FC Wilson,AJ Macleod,FC Wilson & AJ Macleod (Sunrisers),175,88,70,5
Sunrisers,FC Wilson & KL Midwood,FC Wilson,KL Midwood,FC Wilson & KL Midwood (Sunrisers),5,0,5,1
Sunrisers,FC Wilson & KS Castle,FC Wilson,KS Castle,FC Wilson & KS Castle (Sunrisers),30,18,11,1
Sunrisers,FC Wilson & M Rogers,FC Wilson,M Rogers,FC Wilson & M Rogers (Sunrisers),9,6,3,1
Sunrisers,FC Wilson & MK Villiers,FC Wilson,MK Villiers,FC Wilson & MK Villiers (Sunrisers),11,8,1,3
Sunrisers,FC Wilson & ND Dattani,FC Wilson,ND Dattani,FC Wilson & ND Dattani (Sunrisers),79,39,27,6
Sunrisers,G Scrivens & AD Carr,G Scrivens,AD Carr,G Scrivens & AD Carr (Sunrisers),9,2,6,1
Sunrisers,G Scrivens & FC Wilson,G Scrivens,FC Wilson,G Scrivens & FC Wilson (Sunrisers),0,0,0,2
Sunrisers,G Scrivens & GKS Gole,G Scrivens,GKS Gole,G Scrivens & GKS Gole (Sunrisers),6,2,4,1
Sunrisers,G Scrivens & J Gardner,G Scrivens,J Gardner,G Scrivens & J Gardner (Sunrisers),208,104,85,5
Sunrisers,G Scrivens & KJ Wolfe,G Scrivens,KJ Wolfe,G Scrivens & KJ Wolfe (Sunrisers),0,0,0,1
Sunrisers,G Scrivens & MK Villiers,G Scrivens,MK Villiers,G Scrivens & MK Villiers (Sunrisers),21,8,10,1
Sunrisers,G Scrivens & ND Dattani,G Scrivens,ND Dattani,G Scrivens & ND Dattani (Sunrisers),67,32,30,2
Sunrisers,G Scrivens & Sonali Patel,G Scrivens,Sonali Patel,G Scrivens & Sonali Patel (Sunrisers),5,5,0,1
Sunrisers,GKS Gole & AD Carr,GKS Gole,AD Carr,GKS Gole & AD Carr (Sunrisers),9,7,1,1
Sunrisers,H Brown & ND Dattani,H Brown,ND Dattani,H Brown & ND Dattani (Sunrisers),22,6,14,1
Sunrisers,J Gardner & AD Carr,J Gardner,AD Carr,J Gardner & AD Carr (Sunrisers),47,25,22,2
Sunrisers,J Gardner & AJ Macleod,J Gardner,AJ Macleod,J Gardner & AJ Macleod (Sunrisers),4,0,4,1
Sunrisers,J Gardner & FC Wilson,J Gardner,FC Wilson,J Gardner & FC Wilson (Sunrisers),15,3,11,1
Sunrisers,J Gardner & H Brown,J Gardner,H Brown,J Gardner & H Brown (Sunrisers),24,14,10,1
Sunrisers,K Speed & KL Midwood,K Speed,KL Midwood,K Speed & KL Midwood (Sunrisers),8,2,5,1
Sunrisers,K Speed & KS Castle,K Speed,KS Castle,K Speed & KS Castle (Sunrisers),1,1,0,1
Sunrisers,KJ Wolfe & E Thorpe,KJ Wolfe,E Thorpe,KJ Wolfe & E Thorpe (Sunrisers),17,3,12,1
Sunrisers,KJ Wolfe & J Gardner,KJ Wolfe,J Gardner,KJ Wolfe & J Gardner (Sunrisers),7,0,7,1
Sunrisers,KJ Wolfe & KL Midwood,KJ Wolfe,KL Midwood,KJ Wolfe & KL Midwood (Sunrisers),9,7,2,1
Sunrisers,KJ Wolfe & KS Castle,KJ Wolfe,KS Castle,KJ Wolfe & KS Castle (Sunrisers),10,2,3,1
Sunrisers,KL Coppack & GKS Gole,KL Coppack,GKS Gole,KL Coppack & GKS Gole (Sunrisers),8,4,4,1
Sunrisers,KL Coppack & J Gardner,KL Coppack,J Gardner,KL Coppack & J Gardner (Sunrisers),1,1,0,1
Sunrisers,KL Coppack & KL Midwood,KL Coppack,KL Midwood,KL Coppack & KL Midwood (Sunrisers),11,6,3,1
Sunrisers,KL Midwood & AD Carr,KL Midwood,AD Carr,KL Midwood & AD Carr (Sunrisers),10,1,4,2
Sunrisers,KL Midwood & G Scrivens,KL Midwood,G Scrivens,KL Midwood & G Scrivens (Sunrisers),39,12,26,1
Sunrisers,KL Midwood & J Gardner,KL Midwood,J Gardner,KL Midwood & J Gardner (Sunrisers),37,24,9,2
Sunrisers,KS Castle & AD Carr,KS Castle,AD Carr,KS Castle & AD Carr (Sunrisers),60,21,31,2
Sunrisers,KS Castle & G Scrivens,KS Castle,G Scrivens,KS Castle & G Scrivens (Sunrisers),9,4,4,2
Sunrisers,KS Castle & GKS Gole,KS Castle,GKS Gole,KS Castle & GKS Gole (Sunrisers),37,10,25,3
Sunrisers,KS Castle & H Brown,KS Castle,H Brown,KS Castle & H Brown (Sunrisers),0,0,0,1
Sunrisers,KS Castle & J Gardner,KS Castle,J Gardner,KS Castle & J Gardner (Sunrisers),145,58,75,6
Sunrisers,KS Castle & KL Midwood,KS Castle,KL Midwood,KS Castle & KL Midwood (Sunrisers),9,7,2,1
Sunrisers,KS Castle & M Rogers,KS Castle,M Rogers,KS Castle & M Rogers (Sunrisers),12,3,7,1
Sunrisers,KS Castle & MK Villiers,KS Castle,MK Villiers,KS Castle & MK Villiers (Sunrisers),40,20,18,1
Sunrisers,KS Castle & ND Dattani,KS Castle,ND Dattani,KS Castle & ND Dattani (Sunrisers),87,44,36,1
Sunrisers,KS Castle & Sonali Patel,KS Castle,Sonali Patel,KS Castle & Sonali Patel (Sunrisers),33,10,15,3
Sunrisers,M Rogers & J Gardner,M Rogers,J Gardner,M Rogers & J Gardner (Sunrisers),26,8,17,1
Sunrisers,MK Villiers & AD Carr,MK Villiers,AD Carr,MK Villiers & AD Carr (Sunrisers),42,25,14,2
Sunrisers,MK Villiers & J Gardner,MK Villiers,J Gardner,MK Villiers & J Gardner (Sunrisers),42,22,16,2
Sunrisers,MK Villiers & ND Dattani,MK Villiers,ND Dattani,MK Villiers & ND Dattani (Sunrisers),165,70,76,2
Sunrisers,ND Dattani & AJ Macleod,ND Dattani,AJ Macleod,ND Dattani & AJ Macleod (Sunrisers),71,28,37,3
Sunrisers,ND Dattani & CL Griffith,ND Dattani,CL Griffith,ND Dattani & CL Griffith (Sunrisers),146,55,64,3
Sunrisers,Sonali Patel & J Gardner,Sonali Patel,J Gardner,Sonali Patel & J Gardner (Sunrisers),2,1,0,2
Sunrisers,Sonali Patel & KJ Wolfe,Sonali Patel,KJ Wolfe,Sonali Patel & KJ Wolfe (Sunrisers),2,0,1,2
Sunrisers,Sonali Patel & KL Midwood,Sonali Patel,KL Midwood,Sonali Patel & KL Midwood (Sunrisers),25,13,10,2
Sunrisers,Sonali Patel & MK Villiers,Sonali Patel,MK Villiers,Sonali Patel & MK Villiers (Sunrisers),3,1,2,1
Thunder,A Clarke & GEB Boyce,A Clarke,GEB Boyce,A Clarke & GEB Boyce (Thunder),2,1,0,1
Thunder,A Hartley & AE Dyson,A Hartley,AE Dyson,A Hartley & AE Dyson (Thunder),48,14,22,1
Thunder,A Hartley & DL Collins,A Hartley,DL Collins,A Hartley & DL Collins (Thunder),4,4,0,2
Thunder,A Hartley & N Brown,A Hartley,N Brown,A Hartley & N Brown (Thunder),27,12,14,1
Thunder,A Hartley & Olivia Thomas,A Hartley,Olivia Thomas,A Hartley & Olivia Thomas (Thunder),0,0,0,1
Thunder,A Hartley & R Duckworth,A Hartley,R Duckworth,A Hartley & R Duckworth (Thunder),16,8,2,3
Thunder,A Hartley & S Ecclestone,A Hartley,S Ecclestone,A Hartley & S Ecclestone (Thunder),20,0,20,1
Thunder,AE Dyson & E Threlkeld,AE Dyson,E Threlkeld,AE Dyson & E Threlkeld (Thunder),32,13,15,1
Thunder,AE Dyson & KL Cross,AE Dyson,KL Cross,AE Dyson & KL Cross (Thunder),28,6,17,1
Thunder,AE Dyson & L Jackson,AE Dyson,L Jackson,AE Dyson & L Jackson (Thunder),0,0,0,1
Thunder,AE Dyson & L Marshall,AE Dyson,L Marshall,AE Dyson & L Marshall (Thunder),12,3,8,1
Thunder,D Mullan & GEB Boyce,D Mullan,GEB Boyce,D Mullan & GEB Boyce (Thunder),25,8,13,1
Thunder,DL Collins & GEB Boyce,DL Collins,GEB Boyce,DL Collins & GEB Boyce (Thunder),0,0,0,1
Thunder,DL Collins & KL Cross,DL Collins,KL Cross,DL Collins & KL Cross (Thunder),8,4,4,1
Thunder,DL Collins & L Jackson,DL Collins,L Jackson,DL Collins & L Jackson (Thunder),28,18,7,1
Thunder,DL Collins & N Brown,DL Collins,N Brown,DL Collins & N Brown (Thunder),28,7,11,2
Thunder,E Threlkeld & A Hartley,E Threlkeld,A Hartley,E Threlkeld & A Hartley (Thunder),8,3,5,1
Thunder,E Threlkeld & D Mullan,E Threlkeld,D Mullan,E Threlkeld & D Mullan (Thunder),5,4,0,1
Thunder,E Threlkeld & EL Lamb,E Threlkeld,EL Lamb,E Threlkeld & EL Lamb (Thunder),30,13,13,5
Thunder,E Threlkeld & GEB Boyce,E Threlkeld,GEB Boyce,E Threlkeld & GEB Boyce (Thunder),144,48,73,7
Thunder,E Threlkeld & L Jackson,E Threlkeld,L Jackson,E Threlkeld & L Jackson (Thunder),77,40,22,3
Thunder,E Threlkeld & S Ecclestone,E Threlkeld,S Ecclestone,E Threlkeld & S Ecclestone (Thunder),33,15,16,1
Thunder,EL Lamb & GEB Boyce,EL Lamb,GEB Boyce,EL Lamb & GEB Boyce (Thunder),194,91,71,7
Thunder,EL Lamb & KL Cross,EL Lamb,KL Cross,EL Lamb & KL Cross (Thunder),33,11,21,1
Thunder,GEB Boyce & P Cleary,GEB Boyce,P Cleary,GEB Boyce & P Cleary (Thunder),45,33,11,1
Thunder,GEB Boyce & S Smale,GEB Boyce,S Smale,GEB Boyce & S Smale (Thunder),67,33,25,2
Thunder,HE Jones & A Hartley,HE Jones,A Hartley,HE Jones & A Hartley (Thunder),37,15,21,3
Thunder,HE Jones & DL Collins,HE Jones,DL Collins,HE Jones & DL Collins (Thunder),5,2,3,1
Thunder,HE Jones & E Threlkeld,HE Jones,E Threlkeld,HE Jones & E Threlkeld (Thunder),18,9,9,1
Thunder,HE Jones & KL Cross,HE Jones,KL Cross,HE Jones & KL Cross (Thunder),2,2,0,1
Thunder,HE Jones & Olivia Thomas,HE Jones,Olivia Thomas,HE Jones & Olivia Thomas (Thunder),4,3,1,1
Thunder,HE Jones & R Duckworth,HE Jones,R Duckworth,HE Jones & R Duckworth (Thunder),5,2,3,1
Thunder,KL Cross & A Hartley,KL Cross,A Hartley,KL Cross & A Hartley (Thunder),6,1,0,1
Thunder,KL Cross & GEB Boyce,KL Cross,GEB Boyce,KL Cross & GEB Boyce (Thunder),38,29,7,1
Thunder,KL Cross & N Brown,KL Cross,N Brown,KL Cross & N Brown (Thunder),29,9,20,3
Thunder,L Heap & AE Dyson,L Heap,AE Dyson,L Heap & AE Dyson (Thunder),21,15,3,1
Thunder,L Heap & E Threlkeld,L Heap,E Threlkeld,L Heap & E Threlkeld (Thunder),30,19,10,1
Thunder,L Heap & R Duckworth,L Heap,R Duckworth,L Heap & R Duckworth (Thunder),31,13,10,3
Thunder,L Jackson & GEB Boyce,L Jackson,GEB Boyce,L Jackson & GEB Boyce (Thunder),14,1,10,2
Thunder,L Jackson & KL Cross,L Jackson,KL Cross,L Jackson & KL Cross (Thunder),15,4,9,1
Thunder,L Jackson & L Marshall,L Jackson,L Marshall,L Jackson & L Marshall (Thunder),120,37,67,3
Thunder,L Marshall & DL Collins,L Marshall,DL Collins,L Marshall & DL Collins (Thunder),23,11,8,2
Thunder,L Marshall & E Threlkeld,L Marshall,E Threlkeld,L Marshall & E Threlkeld (Thunder),1,1,0,1
Thunder,L Marshall & GEB Boyce,L Marshall,GEB Boyce,L Marshall & GEB Boyce (Thunder),84,46,26,6
Thunder,L Marshall & HE Jones,L Marshall,HE Jones,L Marshall & HE Jones (Thunder),2,2,0,1
Thunder,L Marshall & KL Cross,L Marshall,KL Cross,L Marshall & KL Cross (Thunder),45,15,17,3
Thunder,L Marshall & N Brown,L Marshall,N Brown,L Marshall & N Brown (Thunder),2,1,1,2
Thunder,N Brown & E Threlkeld,N Brown,E Threlkeld,N Brown & E Threlkeld (Thunder),168,71,77,4
Thunder,N Brown & EL Lamb,N Brown,EL Lamb,N Brown & EL Lamb (Thunder),30,11,18,3
Thunder,N Brown & GEB Boyce,N Brown,GEB Boyce,N Brown & GEB Boyce (Thunder),117,48,55,4
Thunder,N Brown & L Jackson,N Brown,L Jackson,N Brown & L Jackson (Thunder),9,5,3,1
Thunder,N Brown & R Duckworth,N Brown,R Duckworth,N Brown & R Duckworth (Thunder),74,43,21,2
Thunder,N Brown & S Ecclestone,N Brown,S Ecclestone,N Brown & S Ecclestone (Thunder),40,22,15,2
Thunder,Olivia Thomas & KL Cross,Olivia Thomas,KL Cross,Olivia Thomas & KL Cross (Thunder),56,15,36,1
Thunder,Olivia Thomas & R Duckworth,Olivia Thomas,R Duckworth,Olivia Thomas & R Duckworth (Thunder),1,0,1,1
Thunder,P Cleary & E Threlkeld,P Cleary,E Threlkeld,P Cleary & E Threlkeld (Thunder),3,1,2,1
Thunder,P Cleary & EL Lamb,P Cleary,EL Lamb,P Cleary & EL Lamb (Thunder),189,81,92,2
Thunder,R Duckworth & AE Dyson,R Duckworth,AE Dyson,R Duckworth & AE Dyson (Thunder),58,26,27,3
Thunder,R Duckworth & DL Collins,R Duckworth,DL Collins,R Duckworth & DL Collins (Thunder),9,1,2,1
Thunder,R Duckworth & E Threlkeld,R Duckworth,E Threlkeld,R Duckworth & E Threlkeld (Thunder),2,1,1,1
Thunder,R Duckworth & L Jackson,R Duckworth,L Jackson,R Duckworth & L Jackson (Thunder),9,2,7,1
Thunder,S Ecclestone & EL Lamb,S Ecclestone,EL Lamb,S Ecclestone & EL Lamb (Thunder),37,15,20,1
Thunder,S Ecclestone & GEB Boyce,S Ecclestone,GEB Boyce,S Ecclestone & GEB Boyce (Thunder),23,12,9,1
Thunder,S Ecclestone & KL Cross,S Ecclestone,KL Cross,S Ecclestone & KL Cross (Thunder),46,31,13,2
Thunder,S Ecclestone & S Turner,S Ecclestone,S Turner,S Ecclestone & S Turner (Thunder),10,7,2,1
Thunder,S Smale & EL Lamb,S Smale,EL Lamb,S Smale & EL Lamb (Thunder),0,0,0,1
Thunder,S Turner & KL Cross,S Turner,KL Cross,S Turner & KL Cross (Thunder),7,1,6,1
Western Storm,A Griffiths & GM Hennessy,A Griffiths,GM Hennessy,A Griffiths & GM Hennessy (Western Storm),155,80,66,1
Western Storm,A Griffiths & NAJ Wraith,A Griffiths,NAJ Wraith,A Griffiths & NAJ Wraith (Western Storm),3,3,0,1
Western Storm,B Gammon & SN Luff,B Gammon,SN Luff,B Gammon & SN Luff (Western Storm),1,0,1,1
Western Storm,C Nicholas & E Corney,C Nicholas,E Corney,C Nicholas & E Corney (Western Storm),21,13,6,1
Western Storm,C Nicholas & LA Parfitt,C Nicholas,LA Parfitt,C Nicholas & LA Parfitt (Western Storm),47,22,16,1
Western Storm,C Nicholas & SN Luff,C Nicholas,SN Luff,C Nicholas & SN Luff (Western Storm),55,11,35,1
Western Storm,C Skelton & N Harvey,C Skelton,N Harvey,C Skelton & N Harvey (Western Storm),18,13,3,1
Western Storm,DR Gibson & A Shrubsole,DR Gibson,A Shrubsole,DR Gibson & A Shrubsole (Western Storm),0,0,0,1
Western Storm,DR Gibson & EM Edgcombe,DR Gibson,EM Edgcombe,DR Gibson & EM Edgcombe (Western Storm),15,14,1,1
Western Storm,DR Gibson & FMK Morris,DR Gibson,FMK Morris,DR Gibson & FMK Morris (Western Storm),31,20,10,2
Western Storm,DR Gibson & GM Hennessy,DR Gibson,GM Hennessy,DR Gibson & GM Hennessy (Western Storm),49,19,30,1
Western Storm,DR Gibson & KL George,DR Gibson,KL George,DR Gibson & KL George (Western Storm),10,6,3,1
Western Storm,DR Gibson & NAJ Wraith,DR Gibson,NAJ Wraith,DR Gibson & NAJ Wraith (Western Storm),28,12,14,1
Western Storm,E Corney & DR Gibson,E Corney,DR Gibson,E Corney & DR Gibson (Western Storm),10,1,9,1
Western Storm,E Corney & EM Edgcombe,E Corney,EM Edgcombe,E Corney & EM Edgcombe (Western Storm),9,3,6,1
Western Storm,E Corney & LA Parfitt,E Corney,LA Parfitt,E Corney & LA Parfitt (Western Storm),4,3,0,1
Western Storm,FMK Morris & A Shrubsole,FMK Morris,A Shrubsole,FMK Morris & A Shrubsole (Western Storm),30,17,13,1
Western Storm,FMK Morris & GM Hennessy,FMK Morris,GM Hennessy,FMK Morris & GM Hennessy (Western Storm),21,12,5,1
Western Storm,FMK Morris & LA Parfitt,FMK Morris,LA Parfitt,FMK Morris & LA Parfitt (Western Storm),195,109,59,7
Western Storm,FMK Morris & N Harvey,FMK Morris,N Harvey,FMK Morris & N Harvey (Western Storm),0,0,0,1
Western Storm,FMK Morris & NAJ Wraith,FMK Morris,NAJ Wraith,FMK Morris & NAJ Wraith (Western Storm),0,0,0,1
Western Storm,GM Hennessy & SN Luff,GM Hennessy,SN Luff,GM Hennessy & SN Luff (Western Storm),281,133,135,9
Western Storm,HC Knight & FMK Morris,HC Knight,FMK Morris,HC Knight & FMK Morris (Western Storm),158,81,56,4
Western Storm,HC Knight & GM Hennessy,HC Knight,GM Hennessy,HC Knight & GM Hennessy (Western Storm),102,65,33,3
Western Storm,HC Knight & SN Luff,HC Knight,SN Luff,HC Knight & SN Luff (Western Storm),306,142,135,4
Western Storm,KL George & GM Hennessy,KL George,GM Hennessy,KL George & GM Hennessy (Western Storm),31,18,9,1
Western Storm,KL George & HC Knight,KL George,HC Knight,KL George & HC Knight (Western Storm),38,19,17,1
Western Storm,KL George & NAJ Wraith,KL George,NAJ Wraith,KL George & NAJ Wraith (Western Storm),45,16,23,2
Western Storm,L Filer & A Shrubsole,L Filer,A Shrubsole,L Filer & A Shrubsole (Western Storm),43,6,31,1
Western Storm,L Filer & N Harvey,L Filer,N Harvey,L Filer & N Harvey (Western Storm),0,0,0,1
Western Storm,L Filer & S Hutchins,L Filer,S Hutchins,L Filer & S Hutchins (Western Storm),9,3,4,1
Western Storm,L Filer & SN Luff,L Filer,SN Luff,L Filer & SN Luff (Western Storm),8,0,8,1
Western Storm,LA Parfitt & HC Knight,LA Parfitt,HC Knight,LA Parfitt & HC Knight (Western Storm),119,46,65,2
Western Storm,LA Parfitt & N Holland,LA Parfitt,N Holland,LA Parfitt & N Holland (Western Storm),12,12,0,1
Western Storm,MJ Robbins & A Shrubsole,MJ Robbins,A Shrubsole,MJ Robbins & A Shrubsole (Western Storm),0,0,0,1
Western Storm,MJ Robbins & E Corney,MJ Robbins,E Corney,MJ Robbins & E Corney (Western Storm),11,2,6,1
Western Storm,MJ Robbins & L Filer,MJ Robbins,L Filer,MJ Robbins & L Filer (Western Storm),9,4,5,1
Western Storm,N Harvey & A Shrubsole,N Harvey,A Shrubsole,N Harvey & A Shrubsole (Western Storm),62,13,41,2
Western Storm,N Harvey & DR Gibson,N Harvey,DR Gibson,N Harvey & DR Gibson (Western Storm),1,0,1,1
Western Storm,N Harvey & MJ Robbins,N Harvey,MJ Robbins,N Harvey & MJ Robbins (Western Storm),13,9,3,2
Western Storm,N Harvey & NAJ Wraith,N Harvey,NAJ Wraith,N Harvey & NAJ Wraith (Western Storm),29,16,11,1
Western Storm,N Holland & E Corney,N Holland,E Corney,N Holland & E Corney (Western Storm),15,6,9,1
Western Storm,N Holland & S Hutchins,N Holland,S Hutchins,N Holland & S Hutchins (Western Storm),2,2,0,1
Western Storm,NAJ Wraith & A Shrubsole,NAJ Wraith,A Shrubsole,NAJ Wraith & A Shrubsole (Western Storm),20,3,16,1
Western Storm,NAJ Wraith & GM Hennessy,NAJ Wraith,GM Hennessy,NAJ Wraith & GM Hennessy (Western Storm),26,14,9,2
Western Storm,NAJ Wraith & HC Knight,NAJ Wraith,HC Knight,NAJ Wraith & HC Knight (Western Storm),25,13,11,3
Western Storm,NAJ Wraith & LA Parfitt,NAJ Wraith,LA Parfitt,NAJ Wraith & LA Parfitt (Western Storm),10,4,5,1
Western Storm,SN Luff & A Griffiths,SN Luff,A Griffiths,SN Luff & A Griffiths (Western Storm),354,139,179,5
Western Storm,SN Luff & C Skelton,SN Luff,C Skelton,SN Luff & C Skelton (Western Storm),61,25,30,1
Western Storm,SN Luff & DR Gibson,SN Luff,DR Gibson,SN Luff & DR Gibson (Western Storm),141,77,52,3
Western Storm,SN Luff & EM Edgcombe,SN Luff,EM Edgcombe,SN Luff & EM Edgcombe (Western Storm),12,8,4,1
Western Storm,SN Luff & FMK Morris,SN Luff,FMK Morris,SN Luff & FMK Morris (Western Storm),135,44,80,6
Western Storm,SN Luff & J Roberts,SN Luff,J Roberts,SN Luff & J Roberts (Western Storm),2,2,0,1
Western Storm,SN Luff & LA Parfitt,SN Luff,LA Parfitt,SN Luff & LA Parfitt (Western Storm),155,61,82,4
Western Storm,SN Luff & NAJ Wraith,SN Luff,NAJ Wraith,SN Luff & NAJ Wraith (Western Storm),188,86,92,6
Western Storm,SN Luff & S Hutchins,SN Luff,S Hutchins,SN Luff & S Hutchins (Western Storm),0,0,0,1
