season,batting_team,partnership,batter1,batter2,net_runs,batter1_runs,batter2_runs
2021,South East Stars,C Brewer & K Moore,C Brewer,K Moore,22,17,3
2020,Sunrisers,H Brown & ND Dattani,H Brown,ND Dattani,22,6,14
2020,Northern Diamonds,KA Levick & PC Graham,KA Levick,PC Graham,21,8,11
2021,Western Storm,FMK Morris & GM Hennessy,FMK Morris,GM Hennessy,21,12,5
2021,Central Sparks,E Jones & RA Fackrell,E Jones,RA Fackrell,21,11,7
2020,Sunrisers,AD Carr & AJ Macleod,AD Carr,AJ Macleod,21,17,1
2020,Western Storm,C Nicholas & E Corney,C Nicholas,E Corney,21,13,6
2020,Thunder,L Heap & AE Dyson,L Heap,AE Dyson,21,15,3
2020,Sunrisers,KS Castle & Sonali Patel,KS Castle,Sonali Patel,21,9,10
2020,Sunrisers,G Scrivens & MK Villiers,G Scrivens,MK Villiers,21,8,10
2021,Western Storm,NAJ Wraith & A Shrubsole,NAJ Wraith,A Shrubsole,20,3,16
2021,Northern Diamonds,JL Gunn & BA Langston,JL Gunn,BA Langston,20,7,13
2020,Thunder,A Hartley & S Ecclestone,A Hartley,S Ecclestone,20,0,20
2021,Central Sparks,IECM Wong & AE Jones,IECM Wong,AE Jones,20,7,12
2020,Sunrisers,MK Villiers & AD Carr,MK Villiers,AD Carr,20,12,7
2020,Northern Diamonds,A Campbell & RHM Hopkins,A Campbell,RHM Hopkins,19,15,3
2020,Lightning,S Pai & AJ Freeborn,S Pai,AJ Freeborn,19,8,10
2020,Central Sparks,CK Boycott & E Jones,CK Boycott,E Jones,19,5,14
2021,Western Storm,C Skelton & N Harvey,C Skelton,N Harvey,18,13,3
2020,Lightning,AJ Freeborn & KE Bryce,AJ Freeborn,KE Bryce,18,10,8
2021,Northern Diamonds,NR Sciver & L Winfield,NR Sciver,L Winfield,18,7,9
2021,Thunder,HE Jones & E Threlkeld,HE Jones,E Threlkeld,18,9,9
2021,Northern Diamonds,BAM Heath & SL Kalis,BAM Heath,SL Kalis,18,6,10
2020,Lightning,S Pai & T Graves,S Pai,T Graves,18,9,5
2021,Central Sparks,E Jones & AE Jones,E Jones,AE Jones,18,7,5
2021,Lightning,S Pai & ML Kirk,S Pai,ML Kirk,18,9,6
2020,Northern Diamonds,KA Levick & BA Langston,KA Levick,BA Langston,18,8,10
2021,Central Sparks,GM Davies & Marie Kelly,GM Davies,Marie Kelly,18,6,7
2021,Thunder,E Threlkeld & EL Lamb,E Threlkeld,EL Lamb,18,6,9
2021,Lightning,KE Bryce & B Harmer,KE Bryce,B Harmer,18,15,2
2021,Central Sparks,CAE Hill & GK Davis,CAE Hill,GK Davis,18,8,4
2020,South East Stars,AG Gordon & A Capsey,AG Gordon,A Capsey,18,7,7
2020,Thunder,S Ecclestone & KL Cross,S Ecclestone,KL Cross,18,9,8
2021,South East Stars,A Capsey & K Moore,A Capsey,K Moore,17,9,7
2021,South East Stars,KM Chathli & Emma Jones,KM Chathli,Emma Jones,17,11,5
2021,Southern Vipers,CE Dean & GA Elwiss,CE Dean,GA Elwiss,17,12,2
2021,Lightning,T Graves & ML Kirk,T Graves,ML Kirk,17,5,8
2020,Central Sparks,AE Jones & GM Davies,AE Jones,GM Davies,17,6,9
2021,Lightning,E Claridge & KE Bryce,E Claridge,KE Bryce,17,7,6
2020,Sunrisers,KJ Wolfe & E Thorpe,KJ Wolfe,E Thorpe,17,3,12
2020,Sunrisers,AJ Macleod & M Rogers,AJ Macleod,M Rogers,17,12,3
2020,South East Stars,PA Franklin & C Brewer,PA Franklin,C Brewer,16,7,9
2020,Thunder,A Hartley & R Duckworth,A Hartley,R Duckworth,16,8,2
2021,Lightning,KL Gordon & E Claridge,KL Gordon,E Claridge,16,3,12
2021,Sunrisers,ND Dattani & AJ Macleod,ND Dattani,AJ Macleod,16,7,9
2021,Southern Vipers,GH Lewis & ME Bouchier,GH Lewis,ME Bouchier,15,1,13
2020,Thunder,KL Cross & N Brown,KL Cross,N Brown,15,3,12
2021,Thunder,L Jackson & KL Cross,L Jackson,KL Cross,15,4,9
2020,Sunrisers,FC Wilson & ND Dattani,FC Wilson,ND Dattani,15,11,2
2020,Sunrisers,CL Griffith & AD Carr,CL Griffith,AD Carr,15,1,6
2020,Western Storm,DR Gibson & EM Edgcombe,DR Gibson,EM Edgcombe,15,14,1
2020,Western Storm,N Holland & E Corney,N Holland,E Corney,15,6,9
2021,Central Sparks,EA Russell & IECM Wong,EA Russell,IECM Wong,15,8,7
2020,Northern Diamonds,NR Sciver & HJ Armitage,NR Sciver,HJ Armitage,15,11,4
2020,Central Sparks,E Jones & CAE Hill,E Jones,CAE Hill,15,7,5
2020,Central Sparks,S Glenn & TF Brookes,S Glenn,TF Brookes,15,11,4
2021,Lightning,LF Higham & E Claridge,LF Higham,E Claridge,15,7,7
2021,Western Storm,SN Luff & NAJ Wraith,SN Luff,NAJ Wraith,15,7,6
2021,Sunrisers,J Gardner & FC Wilson,J Gardner,FC Wilson,15,3,11
2020,Southern Vipers,CM Taylor & AZ Monaghan,CM Taylor,AZ Monaghan,14,10,3
2020,Northern Diamonds,SL Kalis & LCN Smith,SL Kalis,LCN Smith,14,5,7
2020,Sunrisers,E Thorpe & KL Midwood,E Thorpe,KL Midwood,14,11,3
2020,South East Stars,E Gray & HV Jones,E Gray,HV Jones,14,3,11
2020,South East Stars,AN Davidson-Richards & PA Franklin,AN Davidson-Richards,PA Franklin,14,4,5
2021,South East Stars,AN Davidson-Richards & KE White,AN Davidson-Richards,KE White,14,3,4
2020,Thunder,L Jackson & GEB Boyce,L Jackson,GEB Boyce,14,1,10
2020,South East Stars,HV Jones & NE Farrant,HV Jones,NE Farrant,14,5,4
2021,Thunder,KL Cross & N Brown,KL Cross,N Brown,14,6,8
2020,Northern Diamonds,JL Gunn & BAM Heath,JL Gunn,BAM Heath,13,7,6
2021,Northern Diamonds,AL MacDonald & BA Langston,AL MacDonald,BA Langston,13,2,11
2020,Lightning,LG Kellogg & S Pai,LG Kellogg,S Pai,13,1,6
2020,Western Storm,NAJ Wraith & HC Knight,NAJ Wraith,HC Knight,13,7,5
2020,Lightning,N Harman & S Munro,N Harman,S Munro,13,11,2
2021,Western Storm,N Harvey & MJ Robbins,N Harvey,MJ Robbins,13,9,3
2020,South East Stars,BF Smith & C Brewer,BF Smith,C Brewer,13,8,4
2020,Lightning,AJ Freeborn & N Harman,AJ Freeborn,N Harman,13,2,11
2020,Northern Diamonds,PC Graham & SL Kalis,PC Graham,SL Kalis,13,5,8
2020,Sunrisers,KS Castle & M Rogers,KS Castle,M Rogers,12,3,7
2020,Lightning,SJ Bryce & N Harman,SJ Bryce,N Harman,12,12,0
2021,Sunrisers,KS Castle & Sonali Patel,KS Castle,Sonali Patel,12,1,5
2021,South East Stars,SIR Dunkley & BF Smith,SIR Dunkley,BF Smith,12,0,12
2020,Lightning,AJ Freeborn & AD Presland,AJ Freeborn,AD Presland,12,4,5
2021,Thunder,AE Dyson & L Marshall,AE Dyson,L Marshall,12,3,8
2020,Northern Diamonds,AL MacDonald & RHM Hopkins,AL MacDonald,RHM Hopkins,12,4,5
2021,Lightning,SJ Bryce & B Ellis,SJ Bryce,B Ellis,12,5,4
2020,Northern Diamonds,AL MacDonald & BA Langston,AL MacDonald,BA Langston,12,10,1
2021,Southern Vipers,E Windsor & EM McCaughan,E Windsor,EM McCaughan,12,2,8
2021,Central Sparks,EL Arlott & IECM Wong,EL Arlott,IECM Wong,12,10,2
2020,Western Storm,LA Parfitt & N Holland,LA Parfitt,N Holland,12,12,0
2020,Southern Vipers,EM McCaughan & CE Dean,EM McCaughan,CE Dean,12,5,7
2020,Sunrisers,AD Carr & ND Dattani,AD Carr,ND Dattani,12,9,2
2020,Thunder,E Threlkeld & EL Lamb,E Threlkeld,EL Lamb,12,7,4
2020,Western Storm,SN Luff & EM Edgcombe,SN Luff,EM Edgcombe,12,8,4
2021,Southern Vipers,GA Elwiss & LK Bell,GA Elwiss,LK Bell,12,8,1
2021,Western Storm,NAJ Wraith & HC Knight,NAJ Wraith,HC Knight,12,6,6
2020,Northern Diamonds,KH Brunt & NR Sciver,KH Brunt,NR Sciver,11,5,4
2021,Sunrisers,FC Wilson & MK Villiers,FC Wilson,MK Villiers,11,8,1
2021,Sunrisers,KL Coppack & KL Midwood,KL Coppack,KL Midwood,11,6,3
2020,Southern Vipers,CM Taylor & LK Bell,CM Taylor,LK Bell,11,1,6
2020,Lightning,S Munro & AJ Freeborn,S Munro,AJ Freeborn,11,3,8
2021,South East Stars,R MacDonald-Gay & K Moore,R MacDonald-Gay,K Moore,11,0,10
2020,Southern Vipers,TG Norris & CE Rudd,TG Norris,CE Rudd,11,7,3
2020,South East Stars,BF Smith & A Capsey,BF Smith,A Capsey,11,9,1
2021,Western Storm,MJ Robbins & E Corney,MJ Robbins,E Corney,11,2,6
2020,Central Sparks,GK Davis & CK Boycott,GK Davis,CK Boycott,11,3,7
2020,Northern Diamonds,BAM Heath & A Campbell,BAM Heath,A Campbell,10,0,10
2020,Sunrisers,KJ Wolfe & KS Castle,KJ Wolfe,KS Castle,10,2,3
2020,Sunrisers,KL Midwood & AD Carr,KL Midwood,AD Carr,10,1,4
2020,Central Sparks,CK Boycott & CAE Hill,CK Boycott,CAE Hill,10,1,5
2020,Thunder,S Ecclestone & S Turner,S Ecclestone,S Turner,10,7,2
2020,Central Sparks,E Jones & HL Baker,E Jones,HL Baker,10,4,5
2020,Central Sparks,CK Boycott & Marie Kelly,CK Boycott,Marie Kelly,10,5,5
2021,Southern Vipers,PJ Scholfield & EM McCaughan,PJ Scholfield,EM McCaughan,10,2,8
2020,Western Storm,NAJ Wraith & LA Parfitt,NAJ Wraith,LA Parfitt,10,4,5
2021,Western Storm,DR Gibson & KL George,DR Gibson,KL George,10,6,3
2021,Central Sparks,AE Jones & GM Davies,AE Jones,GM Davies,10,2,6
2020,Central Sparks,S Glenn & CK Boycott,S Glenn,CK Boycott,10,3,6
2021,Western Storm,E Corney & DR Gibson,E Corney,DR Gibson,10,1,9
2020,Sunrisers,G Scrivens & AD Carr,G Scrivens,AD Carr,9,2,6
2020,Central Sparks,AE Jones & Marie Kelly,AE Jones,Marie Kelly,9,3,4
2020,Southern Vipers,CM Taylor & PAC Cowdrill,CM Taylor,PAC Cowdrill,9,3,4
2020,Thunder,R Duckworth & DL Collins,R Duckworth,DL Collins,9,1,2
2020,Thunder,R Duckworth & L Jackson,R Duckworth,L Jackson,9,2,7
2020,Western Storm,L Filer & S Hutchins,L Filer,S Hutchins,9,3,4
2021,South East Stars,R MacDonald-Gay & Emma Jones,R MacDonald-Gay,Emma Jones,9,0,8
2020,South East Stars,R Southby & MS Belt,R Southby,MS Belt,9,3,5
2021,Lightning,Y Graves & E Claridge,Y Graves,E Claridge,9,8,1
2020,Western Storm,E Corney & EM Edgcombe,E Corney,EM Edgcombe,9,3,6
2020,South East Stars,SE Rowe & A Cranstone,SE Rowe,A Cranstone,9,8,0
2021,Sunrisers,FC Wilson & M Rogers,FC Wilson,M Rogers,9,6,3
2021,Western Storm,MJ Robbins & L Filer,MJ Robbins,L Filer,9,4,5
2020,Thunder,N Brown & L Jackson,N Brown,L Jackson,9,5,3
2020,Lightning,G Ballinger & AD Presland,G Ballinger,AD Presland,9,4,4
2020,Central Sparks,CK Boycott & Anisha Patel,CK Boycott,Anisha Patel,9,6,2
2020,South East Stars,A Cranstone & AN Davidson-Richards,A Cranstone,AN Davidson-Richards,9,3,6
2021,Sunrisers,GKS Gole & AD Carr,GKS Gole,AD Carr,9,7,1
2021,South East Stars,Emma Jones & D Gregory,Emma Jones,D Gregory,9,6,1
2020,Lightning,LF Higham & SJ Bryce,LF Higham,SJ Bryce,9,3,3
2020,Sunrisers,KS Castle & G Scrivens,KS Castle,G Scrivens,9,4,4
2021,Sunrisers,KS Castle & KL Midwood,KS Castle,KL Midwood,9,7,2
2021,Sunrisers,MK Villiers & J Gardner,MK Villiers,J Gardner,9,6,3
2020,South East Stars,KE White & C Brewer,KE White,C Brewer,9,5,3
2020,Sunrisers,KJ Wolfe & KL Midwood,KJ Wolfe,KL Midwood,9,7,2
2021,Central Sparks,RA Fackrell & IECM Wong,RA Fackrell,IECM Wong,8,1,7
2021,Lightning,Y Graves & S Munro,Y Graves,S Munro,8,5,2
2020,Southern Vipers,ER Chandler & AZ Monaghan,ER Chandler,AZ Monaghan,8,5,1
2021,Sunrisers,KS Castle & AD Carr,KS Castle,AD Carr,8,0,5
2021,Sunrisers,KL Coppack & GKS Gole,KL Coppack,GKS Gole,8,4,4
2021,Central Sparks,S Glenn & IECM Wong,S Glenn,IECM Wong,8,6,2
2021,Thunder,E Threlkeld & A Hartley,E Threlkeld,A Hartley,8,3,5
2021,Western Storm,L Filer & SN Luff,L Filer,SN Luff,8,0,8
2021,Thunder,DL Collins & KL Cross,DL Collins,KL Cross,8,4,4
2021,Sunrisers,K Speed & KL Midwood,K Speed,KL Midwood,8,2,5
2020,South East Stars,HV Jones & AG Gordon,HV Jones,AG Gordon,8,5,1
2021,South East Stars,KE White & K Moore,KE White,K Moore,8,1,7
2021,Northern Diamonds,JL Gunn & A Campbell,JL Gunn,A Campbell,7,5,1
2020,Thunder,S Turner & KL Cross,S Turner,KL Cross,7,1,6
2021,Sunrisers,FC Wilson & AD Carr,FC Wilson,AD Carr,7,1,6
2021,South East Stars,R Southby & NE Farrant,R Southby,NE Farrant,7,4,2
2021,South East Stars,FR Davies & D Gregory,FR Davies,D Gregory,7,5,1
2021,Central Sparks,GK Davis & E Jones,GK Davis,E Jones,7,4,3
2020,Sunrisers,KJ Wolfe & J Gardner,KJ Wolfe,J Gardner,7,0,7
2021,Sunrisers,CL Griffith & FC Wilson,CL Griffith,FC Wilson,6,0,5
2021,Central Sparks,S Butler & GM Davies,S Butler,GM Davies,6,2,4
2021,Lightning,G Ballinger & S Munro,G Ballinger,S Munro,6,6,0
2021,Southern Vipers,GA Elwiss & TG Norris,GA Elwiss,TG Norris,6,2,3
2021,Central Sparks,TF Brookes & RA Fackrell,TF Brookes,RA Fackrell,6,5,1
2020,Thunder,HE Jones & A Hartley,HE Jones,A Hartley,6,4,1
2020,Lightning,KE Bryce & T Graves,KE Bryce,T Graves,6,4,2
2021,Northern Diamonds,SL Kalis & AL MacDonald,SL Kalis,AL MacDonald,6,0,5
2020,Sunrisers,G Scrivens & GKS Gole,G Scrivens,GKS Gole,6,2,4
2020,Thunder,N Brown & EL Lamb,N Brown,EL Lamb,6,3,2
2020,Lightning,KE Bryce & KL Gordon,KE Bryce,KL Gordon,6,3,2
2021,Thunder,KL Cross & A Hartley,KL Cross,A Hartley,6,1,0
2021,Southern Vipers,E Windsor & AZ Monaghan,E Windsor,AZ Monaghan,6,4,0
2021,Sunrisers,J Gardner & AD Carr,J Gardner,AD Carr,5,0,5
2020,Lightning,LF Higham & T Graves,LF Higham,T Graves,5,2,2
2021,South East Stars,D Gregory & K Moore,D Gregory,K Moore,5,0,1
2021,Southern Vipers,GA Elwiss & EM McCaughan,GA Elwiss,EM McCaughan,5,0,5
2021,Thunder,N Brown & S Ecclestone,N Brown,S Ecclestone,5,2,1
2021,Northern Diamonds,KA Levick & HL Fenby,KA Levick,HL Fenby,5,3,1
2020,Central Sparks,CAE Hill & M Home,CAE Hill,M Home,5,1,0
2020,Thunder,HE Jones & R Duckworth,HE Jones,R Duckworth,5,2,3
2021,Northern Diamonds,SL Kalis & SJ Taylor,SL Kalis,SJ Taylor,5,2,2
2020,Sunrisers,FC Wilson & KL Midwood,FC Wilson,KL Midwood,5,0,5
2020,Sunrisers,G Scrivens & Sonali Patel,G Scrivens,Sonali Patel,5,5,0
2020,South East Stars,R Southby & HV Jones,R Southby,HV Jones,5,5,0
2021,Lightning,T Graves & SB Odedra,T Graves,SB Odedra,5,5,0
2021,Thunder,HE Jones & DL Collins,HE Jones,DL Collins,5,2,3
2021,Southern Vipers,GA Elwiss & CE Rudd,GA Elwiss,CE Rudd,5,2,1
2020,Thunder,EL Lamb & GEB Boyce,EL Lamb,GEB Boyce,5,2,2
2020,South East Stars,SIR Dunkley & A Cranstone,SIR Dunkley,A Cranstone,5,5,0
2020,Northern Diamonds,NR Sciver & BAM Heath,NR Sciver,BAM Heath,5,2,3
2021,South East Stars,GJ Gibbs & KM Chathli,GJ Gibbs,KM Chathli,5,1,4
2021,Central Sparks,EL Arlott & CAE Hill,EL Arlott,CAE Hill,5,2,3
2021,Thunder,E Threlkeld & D Mullan,E Threlkeld,D Mullan,5,4,0
2021,South East Stars,K Moore & KM Chathli,K Moore,KM Chathli,4,3,1
2020,Northern Diamonds,SL Kalis & AL MacDonald,SL Kalis,AL MacDonald,4,1,1
2020,Western Storm,E Corney & LA Parfitt,E Corney,LA Parfitt,4,3,0
2020,Thunder,HE Jones & Olivia Thomas,HE Jones,Olivia Thomas,4,3,1
2020,Lightning,AJ Freeborn & B Ellis,AJ Freeborn,B Ellis,4,2,1
2020,South East Stars,GJ Gibbs & NE Farrant,GJ Gibbs,NE Farrant,4,1,3
2021,Central Sparks,E Jones & EA Russell,E Jones,EA Russell,4,2,2
2020,Central Sparks,IECM Wong & E Jones,IECM Wong,E Jones,4,2,1
2021,Thunder,A Hartley & DL Collins,A Hartley,DL Collins,4,4,0
2021,Northern Diamonds,LCN Smith & EF Telford,LCN Smith,EF Telford,4,4,0
2021,Southern Vipers,CE Dean & DN Wyatt,CE Dean,DN Wyatt,4,2,1
2021,Sunrisers,J Gardner & AJ Macleod,J Gardner,AJ Macleod,4,0,4
2020,South East Stars,R Southby & FR Davies,R Southby,FR Davies,4,2,2
2021,Northern Diamonds,A Campbell & KH Brunt,A Campbell,KH Brunt,4,4,0
2020,Central Sparks,CK Boycott & EA Russell,CK Boycott,EA Russell,4,3,1
2020,South East Stars,MS Belt & AG Gordon,MS Belt,AG Gordon,4,0,1
2020,Northern Diamonds,NR Sciver & BA Langston,NR Sciver,BA Langston,3,1,2
2020,Central Sparks,M Home & P Davies,M Home,P Davies,3,2,1
2021,Thunder,P Cleary & E Threlkeld,P Cleary,E Threlkeld,3,1,2
2020,Central Sparks,E Jones & EA Russell,E Jones,EA Russell,3,1,1
2020,Central Sparks,Anisha Patel & E Jones,Anisha Patel,E Jones,3,1,2
2021,Lightning,J Groves & S Munro,J Groves,S Munro,3,2,0
2020,Southern Vipers,E Windsor & AZ Monaghan,E Windsor,AZ Monaghan,3,2,1
2020,South East Stars,M Blythin & R Southby,M Blythin,R Southby,3,2,1
2020,Western Storm,KL George & NAJ Wraith,KL George,NAJ Wraith,3,0,2
2021,Lightning,S Munro & E Claridge,S Munro,E Claridge,3,3,0
2020,Sunrisers,AJ Macleod & MK Villiers,AJ Macleod,MK Villiers,3,2,0
2020,Western Storm,A Griffiths & NAJ Wraith,A Griffiths,NAJ Wraith,3,3,0
2021,Central Sparks,RA Fackrell & CAE Hill,RA Fackrell,CAE Hill,3,1,1
2021,Southern Vipers,TG Norris & PJ Scholfield,TG Norris,PJ Scholfield,3,3,0
2020,South East Stars,NE Farrant & PA Franklin,NE Farrant,PA Franklin,3,1,2
2020,Sunrisers,Sonali Patel & MK Villiers,Sonali Patel,MK Villiers,3,1,2
2021,South East Stars,FR Davies & NE Farrant,FR Davies,NE Farrant,3,2,0
2021,Northern Diamonds,LCN Smith & PC Graham,LCN Smith,PC Graham,3,2,1
2021,Thunder,L Marshall & HE Jones,L Marshall,HE Jones,2,2,0
2021,Thunder,HE Jones & KL Cross,HE Jones,KL Cross,2,2,0
2021,Thunder,L Marshall & N Brown,L Marshall,N Brown,2,1,1
2020,Western Storm,N Holland & S Hutchins,N Holland,S Hutchins,2,2,0
2021,Central Sparks,IECM Wong & CAE Hill,IECM Wong,CAE Hill,2,1,1
2020,Lightning,LG Kellogg & G Ballinger,LG Kellogg,G Ballinger,2,0,1
2021,South East Stars,NE Farrant & KE White,NE Farrant,KE White,2,1,1
2021,Western Storm,NAJ Wraith & GM Hennessy,NAJ Wraith,GM Hennessy,2,2,0
2021,Central Sparks,CAE Hill & TF Brookes,CAE Hill,TF Brookes,2,2,0
2020,Sunrisers,Sonali Patel & KJ Wolfe,Sonali Patel,KJ Wolfe,2,0,1
2020,Lightning,Ilenia Sims & AJ Freeborn,Ilenia Sims,AJ Freeborn,2,1,1
2021,Northern Diamonds,KH Brunt & SL Kalis,KH Brunt,SL Kalis,2,1,1
2020,Thunder,A Clarke & GEB Boyce,A Clarke,GEB Boyce,2,1,0
2020,South East Stars,SE Rowe & A Capsey,SE Rowe,A Capsey,2,1,0
2021,Sunrisers,Sonali Patel & J Gardner,Sonali Patel,J Gardner,2,1,0
2021,Western Storm,SN Luff & J Roberts,SN Luff,J Roberts,2,2,0
2020,Southern Vipers,E Windsor & PJ Scholfield,E Windsor,PJ Scholfield,2,1,1
2020,Central Sparks,Anisha Patel & EA Russell,Anisha Patel,EA Russell,2,1,0
2020,South East Stars,M Blythin & E Gray,M Blythin,E Gray,2,1,1
2021,Northern Diamonds,HL Fenby & AL MacDonald,HL Fenby,AL MacDonald,2,1,1
2020,Northern Diamonds,BAM Heath & SL Kalis,BAM Heath,SL Kalis,2,0,2
2020,South East Stars,HV Jones & A Cranstone,HV Jones,A Cranstone,2,1,0
2021,Thunder,R Duckworth & E Threlkeld,R Duckworth,E Threlkeld,2,1,1
2021,Northern Diamonds,R Slater & LCN Smith,R Slater,LCN Smith,1,0,0
2021,South East Stars,A Capsey & Emma Jones,A Capsey,Emma Jones,1,1,0
2021,Western Storm,B Gammon & SN Luff,B Gammon,SN Luff,1,0,1
2021,Northern Diamonds,KA Levick & LCN Smith,KA Levick,LCN Smith,1,0,0
2020,Central Sparks,S Glenn & Marie Kelly,S Glenn,Marie Kelly,1,0,1
2021,Northern Diamonds,PC Graham & A Campbell,PC Graham,A Campbell,1,0,1
2021,South East Stars,AN Davidson-Richards & K Moore,AN Davidson-Richards,K Moore,1,1,0
2020,Thunder,Olivia Thomas & R Duckworth,Olivia Thomas,R Duckworth,1,0,1
2021,Thunder,L Marshall & E Threlkeld,L Marshall,E Threlkeld,1,1,0
2020,Southern Vipers,AZ Monaghan & TG Norris,AZ Monaghan,TG Norris,1,1,0
2021,Sunrisers,K Speed & KS Castle,K Speed,KS Castle,1,1,0
2021,Central Sparks,GM Davies & IECM Wong,GM Davies,IECM Wong,1,1,0
2020,Lightning,N Harman & KE Bryce,N Harman,KE Bryce,1,0,0
2021,Lightning,ML Kirk & TT Beaumont,ML Kirk,TT Beaumont,1,0,1
2021,Southern Vipers,E Windsor & GA Elwiss,E Windsor,GA Elwiss,1,1,0
2021,Central Sparks,P Davies & E Jones,P Davies,E Jones,1,0,1
2021,Sunrisers,KL Coppack & J Gardner,KL Coppack,J Gardner,1,1,0
2020,Southern Vipers,CE Rudd & GL Adams,CE Rudd,GL Adams,1,0,1
2021,Western Storm,N Harvey & DR Gibson,N Harvey,DR Gibson,1,0,1
2021,Southern Vipers,TG Norris & DN Wyatt,TG Norris,DN Wyatt,1,1,0
2021,Thunder,DL Collins & N Brown,DL Collins,N Brown,1,0,1
2020,South East Stars,M Blythin & AG Gordon,M Blythin,AG Gordon,1,1,0
2021,Lightning,AJ Freeborn & SJ Bryce,AJ Freeborn,SJ Bryce,0,0,0
2021,Central Sparks,S Glenn & E Jones,S Glenn,E Jones,0,0,0
2021,Northern Diamonds,BA Langston & A Campbell,BA Langston,A Campbell,0,0,0
2021,Western Storm,L Filer & N Harvey,L Filer,N Harvey,0,0,0
2021,Western Storm,MJ Robbins & A Shrubsole,MJ Robbins,A Shrubsole,0,0,0
2020,Central Sparks,EL Arlott & E Jones,EL Arlott,E Jones,0,0,0
2020,South East Stars,D Gregory & R Southby,D Gregory,R Southby,0,0,0
2020,Lightning,LF Higham & KE Bryce,LF Higham,KE Bryce,0,0,0
2021,Western Storm,FMK Morris & NAJ Wraith,FMK Morris,NAJ Wraith,0,0,0
2021,Western Storm,FMK Morris & N Harvey,FMK Morris,N Harvey,0,0,0
2021,Sunrisers,KS Castle & G Scrivens,KS Castle,G Scrivens,0,0,0
2020,Northern Diamonds,SL Kalis & NR Sciver,SL Kalis,NR Sciver,0,0,0
2021,Sunrisers,G Scrivens & FC Wilson,G Scrivens,FC Wilson,0,0,0
2020,Northern Diamonds,PC Graham & BA Langston,PC Graham,BA Langston,0,0,0
2020,South East Stars,PA Franklin & GJ Gibbs,PA Franklin,GJ Gibbs,0,0,0
2021,Southern Vipers,EM McCaughan & DN Wyatt,EM McCaughan,DN Wyatt,0,0,0
2021,Southern Vipers,CM Taylor & AZ Monaghan,CM Taylor,AZ Monaghan,0,0,0
2021,Southern Vipers,AZ Monaghan & DN Wyatt,AZ Monaghan,DN Wyatt,0,0,0
2021,South East Stars,PA Franklin & K Moore,PA Franklin,K Moore,0,0,0
2021,South East Stars,KM Chathli & KE White,KM Chathli,KE White,0,0,0
2020,Sunrisers,G Scrivens & KJ Wolfe,G Scrivens,KJ Wolfe,0,0,0
2020,Sunrisers,KS Castle & H Brown,KS Castle,H Brown,0,0,0
2021,South East Stars,BF Smith & C Brewer,BF Smith,C Brewer,0,0,0
2020,Sunrisers,Sonali Patel & J Gardner,Sonali Patel,J Gardner,0,0,0
2021,Thunder,S Smale & EL Lamb,S Smale,EL Lamb,0,0,0
2021,Western Storm,DR Gibson & A Shrubsole,DR Gibson,A Shrubsole,0,0,0
2020,Thunder,A Hartley & Olivia Thomas,A Hartley,Olivia Thomas,0,0,0
2020,Thunder,AE Dyson & L Jackson,AE Dyson,L Jackson,0,0,0
2020,Thunder,DL Collins & GEB Boyce,DL Collins,GEB Boyce,0,0,0
2021,Western Storm,SN Luff & S Hutchins,SN Luff,S Hutchins,0,0,0
