match_id,bowler,bowler_labels,overcounts,runs_conceded,econ_rate,message,wicketcounts,bowling_average,bowler_strikerate
1229345,S Butler,S Butler (Central Sparks),9,38,4.22,vs Northern Diamonds (13/09/2020),,,
1229346,AZ Monaghan,AZ Monaghan (Southern Vipers),3,12,4.0,vs South East Stars (19/09/2020),,,
1229346,CE Dean,CE Dean (Southern Vipers),8,42,5.25,vs South East Stars (19/09/2020),,,
1229346,CM Taylor,CM Taylor (Southern Vipers),10,38,3.8,vs South East Stars (19/09/2020),2,19.0,30.0
1229346,GL Adams,GL Adams (Southern Vipers),5,21,4.2,vs South East Stars (19/09/2020),,,
1229346,LK Bell,LK Bell (Southern Vipers),10,36,3.6,vs South East Stars (19/09/2020),4,9.0,15.0
1229346,PJ Scholfield,PJ Scholfield (Southern Vipers),8,43,5.38,vs South East Stars (19/09/2020),1,43.0,48.0
1229346,TG Norris,TG Norris (Southern Vipers),5,28,5.6,vs South East Stars (19/09/2020),1,28.0,30.0
1229346,A Capsey,A Capsey (South East Stars),5,28,5.6,vs Southern Vipers (19/09/2020),,,
1229346,AN Davidson-Richards,AN Davidson-Richards (South East Stars),5,27,5.4,vs Southern Vipers (19/09/2020),,,
1229346,BF Smith,BF Smith (South East Stars),2,16,8.0,vs Southern Vipers (19/09/2020),,,
1229346,C Brewer,C Brewer (South East Stars),4,12,3.0,vs Southern Vipers (19/09/2020),,,
1229346,D Gregory,D Gregory (South East Stars),10,44,4.4,vs Southern Vipers (19/09/2020),3,14.67,20.0
1229346,GJ Gibbs,GJ Gibbs (South East Stars),2,17,8.5,vs Southern Vipers (19/09/2020),,,
1229346,HV Jones,HV Jones (South East Stars),10,47,4.7,vs Southern Vipers (19/09/2020),2,23.5,30.0
1229346,NE Farrant,NE Farrant (South East Stars),10,33,3.3,vs Southern Vipers (19/09/2020),1,33.0,60.0
1229347,A Hartley,A Hartley (Thunder),8,35,4.38,vs Northern Diamonds (19/09/2020),1,35.0,48.0
1229347,AE Dyson,AE Dyson (Thunder),3,18,6.0,vs Northern Diamonds (19/09/2020),,,
1229347,HE Jones,HE Jones (Thunder),8,28,3.5,vs Northern Diamonds (19/09/2020),1,28.0,48.0
1229347,L Heap,L Heap (Thunder),4,27,6.75,vs Northern Diamonds (19/09/2020),1,27.0,24.0
1229347,N Brown,N Brown (Thunder),7,35,5.0,vs Northern Diamonds (19/09/2020),,,
1229347,BA Langston,BA Langston (Northern Diamonds),9,18,2.0,vs Thunder (19/09/2020),3,6.0,18.0
1229347,HJ Armitage,HJ Armitage (Northern Diamonds),2,8,4.0,vs Thunder (19/09/2020),,,
1229347,JL Gunn,JL Gunn (Northern Diamonds),6,18,3.0,vs Thunder (19/09/2020),2,9.0,18.0
1229347,KA Levick,KA Levick (Northern Diamonds),8,39,4.88,vs Thunder (19/09/2020),2,19.5,24.0
1229347,LCN Smith,LCN Smith (Northern Diamonds),9,26,2.89,vs Thunder (19/09/2020),1,26.0,54.0
1229347,PC Graham,PC Graham (Northern Diamonds),9,29,3.22,vs Thunder (19/09/2020),2,14.5,27.0
1229348,AD Presland,AD Presland (Lightning),5,27,5.4,vs Central Sparks (19/09/2020),,,
1229348,B Ellis,B Ellis (Lightning),5,25,5.0,vs Central Sparks (19/09/2020),3,8.33,10.0
1229348,KE Bryce,KE Bryce (Lightning),10,54,5.4,vs Central Sparks (19/09/2020),3,18.0,20.0
1229348,KL Gordon,KL Gordon (Lightning),10,40,4.0,vs Central Sparks (19/09/2020),2,20.0,30.0
1229348,LF Higham,LF Higham (Lightning),10,35,3.5,vs Central Sparks (19/09/2020),2,17.5,30.0
1229348,S Munro,S Munro (Lightning),7,42,6.0,vs Central Sparks (19/09/2020),,,
1229348,T Graves,T Graves (Lightning),4,23,5.75,vs Central Sparks (19/09/2020),,,
1229348,Anisha Patel,Anisha Patel (Central Sparks),10,46,4.6,vs Lightning (19/09/2020),2,23.0,30.0
1229348,CK Boycott,CK Boycott (Central Sparks),6,40,6.67,vs Lightning (19/09/2020),1,40.0,36.0
1229348,EA Russell,EA Russell (Central Sparks),8,53,6.62,vs Lightning (19/09/2020),,,
1229348,EL Arlott,EL Arlott (Central Sparks),9,56,6.22,vs Lightning (19/09/2020),,,
1229348,HL Baker,HL Baker (Central Sparks),10,49,4.9,vs Lightning (19/09/2020),1,49.0,60.0
1229348,IECM Wong,IECM Wong (Central Sparks),7,57,8.14,vs Lightning (19/09/2020),,,
1229349,A Griffiths,A Griffiths (Western Storm),4,23,5.75,vs Sunrisers (19/09/2020),,,
1229349,E Corney,E Corney (Western Storm),4,16,4.0,vs Sunrisers (19/09/2020),1,16.0,24.0
1229349,EM Edgcombe,EM Edgcombe (Western Storm),8,39,4.88,vs Sunrisers (19/09/2020),1,39.0,48.0
1229349,FMK Morris,FMK Morris (Western Storm),10,41,4.1,vs Sunrisers (19/09/2020),1,41.0,60.0
1229349,GM Hennessy,GM Hennessy (Western Storm),6,29,4.83,vs Sunrisers (19/09/2020),2,14.5,18.0
1229349,N Holland,N Holland (Western Storm),4,21,5.25,vs Sunrisers (19/09/2020),1,21.0,24.0
1229349,S Hutchins,S Hutchins (Western Storm),9,42,4.67,vs Sunrisers (19/09/2020),1,42.0,54.0
1229349,SN Luff,SN Luff (Western Storm),4,27,6.75,vs Sunrisers (19/09/2020),1,27.0,24.0
1229349,AJ Macleod,AJ Macleod (Sunrisers),10,64,6.4,vs Western Storm (19/09/2020),2,32.0,30.0
1229349,G Scrivens,G Scrivens (Sunrisers),4,30,7.5,vs Western Storm (19/09/2020),,,
1229349,J Gardner,J Gardner (Sunrisers),10,52,5.2,vs Western Storm (19/09/2020),1,52.0,60.0
1229349,KJ Wolfe,KJ Wolfe (Sunrisers),10,34,3.4,vs Western Storm (19/09/2020),2,17.0,30.0
1229349,KL Midwood,KL Midwood (Sunrisers),10,41,4.1,vs Western Storm (19/09/2020),,,
1229349,KS Castle,KS Castle (Sunrisers),6,51,8.5,vs Western Storm (19/09/2020),,,
1229349,Sonali Patel,Sonali Patel (Sunrisers),2,14,7.0,vs Western Storm (19/09/2020),1,14.0,12.0
1229350,CE Dean,CE Dean (Southern Vipers),10,35,3.5,vs Northern Diamonds (27/09/2020),1,35.0,60.0
1229350,CM Taylor,CM Taylor (Southern Vipers),10,34,3.4,vs Northern Diamonds (27/09/2020),6,5.67,10.0
1229350,GL Adams,GL Adams (Southern Vipers),3,13,4.33,vs Northern Diamonds (27/09/2020),1,13.0,18.0
1229350,LK Bell,LK Bell (Southern Vipers),9,43,4.78,vs Northern Diamonds (27/09/2020),,,
1229350,ME Bouchier,ME Bouchier (Southern Vipers),3,13,4.33,vs Northern Diamonds (27/09/2020),1,13.0,18.0
1229350,PJ Scholfield,PJ Scholfield (Southern Vipers),4,25,6.25,vs Northern Diamonds (27/09/2020),,,
1229350,TG Norris,TG Norris (Southern Vipers),4,22,5.5,vs Northern Diamonds (27/09/2020),,,
1229350,BA Langston,BA Langston (Northern Diamonds),10,35,3.5,vs Southern Vipers (27/09/2020),1,35.0,60.0
1229350,HJ Armitage,HJ Armitage (Northern Diamonds),8,33,4.12,vs Southern Vipers (27/09/2020),2,16.5,24.0
1229350,JL Gunn,JL Gunn (Northern Diamonds),9,32,3.56,vs Southern Vipers (27/09/2020),1,32.0,54.0
1229350,KA Levick,KA Levick (Northern Diamonds),8,49,6.12,vs Southern Vipers (27/09/2020),3,16.33,16.0
1229350,LCN Smith,LCN Smith (Northern Diamonds),7,31,4.43,vs Southern Vipers (27/09/2020),1,31.0,42.0
1229350,PC Graham,PC Graham (Northern Diamonds),8,43,5.38,vs Southern Vipers (27/09/2020),,,
1252264,BA Langston,BA Langston (Northern Diamonds),8,26,3.25,vs Central Sparks (29/05/2021),2,13.0,24.0
1252264,JL Gunn,JL Gunn (Northern Diamonds),10,50,5.0,vs Central Sparks (29/05/2021),1,50.0,60.0
1252264,KA Levick,KA Levick (Northern Diamonds),4,30,7.5,vs Central Sparks (29/05/2021),,,
1252264,KH Brunt,KH Brunt (Northern Diamonds),9,41,4.56,vs Central Sparks (29/05/2021),2,20.5,27.0
1252264,LCN Smith,LCN Smith (Northern Diamonds),9,54,6.0,vs Central Sparks (29/05/2021),3,18.0,18.0
1252264,NR Sciver,NR Sciver (Northern Diamonds),9,64,7.11,vs Central Sparks (29/05/2021),,,
1252264,E Jones,E Jones (Central Sparks),3,18,6.0,vs Northern Diamonds (29/05/2021),,,
1252264,EA Russell,EA Russell (Central Sparks),6,35,5.83,vs Northern Diamonds (29/05/2021),1,35.0,36.0
1252264,EL Arlott,EL Arlott (Central Sparks),8,44,5.5,vs Northern Diamonds (29/05/2021),1,44.0,48.0
1252264,IECM Wong,IECM Wong (Central Sparks),10,49,4.9,vs Northern Diamonds (29/05/2021),5,9.8,12.0
1252264,RA Fackrell,RA Fackrell (Central Sparks),7,50,7.14,vs Northern Diamonds (29/05/2021),,,
1252264,S Butler,S Butler (Central Sparks),6,46,7.67,vs Northern Diamonds (29/05/2021),2,23.0,18.0
1252264,S Glenn,S Glenn (Central Sparks),10,35,3.5,vs Northern Diamonds (29/05/2021),1,35.0,60.0
1252265,A Shrubsole,A Shrubsole (Western Storm),10,29,2.9,vs Thunder (29/05/2021),3,9.67,20.0
1252265,DR Gibson,DR Gibson (Western Storm),9,68,7.56,vs Thunder (29/05/2021),,,
1252265,FMK Morris,FMK Morris (Western Storm),3,18,6.0,vs Thunder (29/05/2021),,,
1252265,GM Hennessy,GM Hennessy (Western Storm),10,57,5.7,vs Thunder (29/05/2021),3,19.0,20.0
1252265,HC Knight,HC Knight (Western Storm),4,31,7.75,vs Thunder (29/05/2021),,,
1252265,L Filer,L Filer (Western Storm),4,20,5.0,vs Thunder (29/05/2021),,,
1252265,MJ Robbins,MJ Robbins (Western Storm),2,21,10.5,vs Thunder (29/05/2021),,,
1252265,N Harvey,N Harvey (Western Storm),8,43,5.38,vs Thunder (29/05/2021),,,
1252265,A Hartley,A Hartley (Thunder),10,60,6.0,vs Western Storm (29/05/2021),,,
1252265,EL Lamb,EL Lamb (Thunder),5,29,5.8,vs Western Storm (29/05/2021),,,
1252265,HE Jones,HE Jones (Thunder),6,46,7.67,vs Western Storm (29/05/2021),2,23.0,18.0
1252265,KL Cross,KL Cross (Thunder),10,35,3.5,vs Western Storm (29/05/2021),3,11.67,20.0
1252265,P Cleary,P Cleary (Thunder),9,56,6.22,vs Western Storm (29/05/2021),1,56.0,54.0
1252265,S Ecclestone,S Ecclestone (Thunder),10,63,6.3,vs Western Storm (29/05/2021),3,21.0,20.0
1252266,AJ Macleod,AJ Macleod (Sunrisers),4,28,7.0,vs South East Stars (29/05/2021),1,28.0,24.0
1252266,G Scrivens,G Scrivens (Sunrisers),7,37,5.29,vs South East Stars (29/05/2021),1,37.0,42.0
1252266,GKS Gole,GKS Gole (Sunrisers),6,46,7.67,vs South East Stars (29/05/2021),,,
1252266,J Gardner,J Gardner (Sunrisers),6,49,8.17,vs South East Stars (29/05/2021),,,
1252266,KS Castle,KS Castle (Sunrisers),8,40,5.0,vs South East Stars (29/05/2021),3,13.33,16.0
1252266,MK Villiers,MK Villiers (Sunrisers),10,70,7.0,vs South East Stars (29/05/2021),,,
1252266,ND Dattani,ND Dattani (Sunrisers),10,50,5.0,vs South East Stars (29/05/2021),1,50.0,60.0
1252266,A Capsey,A Capsey (South East Stars),4,14,3.5,vs Sunrisers (29/05/2021),1,14.0,24.0
1252266,AN Davidson-Richards,AN Davidson-Richards (South East Stars),2,20,10.0,vs Sunrisers (29/05/2021),,,
1252266,BF Smith,BF Smith (South East Stars),10,47,4.7,vs Sunrisers (29/05/2021),3,15.67,20.0
1252266,D Gregory,D Gregory (South East Stars),5,28,5.6,vs Sunrisers (29/05/2021),,,
1252266,FR Davies,FR Davies (South East Stars),8,25,3.12,vs Sunrisers (29/05/2021),,,
1252266,GJ Gibbs,GJ Gibbs (South East Stars),3,17,5.67,vs Sunrisers (29/05/2021),1,17.0,18.0
1252266,NE Farrant,NE Farrant (South East Stars),8,33,4.12,vs Sunrisers (29/05/2021),5,6.6,9.6
1252267,CE Dean,CE Dean (Southern Vipers),10,52,5.2,vs Lightning (29/05/2021),2,26.0,30.0
1252267,CM Taylor,CM Taylor (Southern Vipers),10,30,3.0,vs Lightning (29/05/2021),1,30.0,60.0
1252267,DN Wyatt,DN Wyatt (Southern Vipers),1,6,6.0,vs Lightning (29/05/2021),,,
1252267,GA Elwiss,GA Elwiss (Southern Vipers),10,38,3.8,vs Lightning (29/05/2021),1,38.0,60.0
1252267,GL Adams,GL Adams (Southern Vipers),3,9,3.0,vs Lightning (29/05/2021),1,9.0,18.0
1252267,LK Bell,LK Bell (Southern Vipers),6,27,4.5,vs Lightning (29/05/2021),1,27.0,36.0
1252267,TG Norris,TG Norris (Southern Vipers),10,47,4.7,vs Lightning (29/05/2021),3,15.67,20.0
1252267,KE Bryce,KE Bryce (Lightning),9,45,5.0,vs Southern Vipers (29/05/2021),1,45.0,54.0
1252267,KL Gordon,KL Gordon (Lightning),10,35,3.5,vs Southern Vipers (29/05/2021),4,8.75,15.0
1252267,LF Higham,LF Higham (Lightning),6,29,4.83,vs Southern Vipers (29/05/2021),,,
1252267,S Munro,S Munro (Lightning),7,40,5.71,vs Southern Vipers (29/05/2021),,,
1252267,SB Odedra,SB Odedra (Lightning),4,23,5.75,vs Southern Vipers (29/05/2021),,,
1252267,T Graves,T Graves (Lightning),7,19,2.71,vs Southern Vipers (29/05/2021),1,19.0,42.0
1252267,Y Graves,Y Graves (Lightning),4,22,5.5,vs Southern Vipers (29/05/2021),,,
1252268,BA Langston,BA Langston (Northern Diamonds),9,32,3.56,vs Lightning (31/05/2021),2,16.0,27.0
1252268,HJ Armitage,HJ Armitage (Northern Diamonds),1,7,7.0,vs Lightning (31/05/2021),,,
1252268,JL Gunn,JL Gunn (Northern Diamonds),9,23,2.56,vs Lightning (31/05/2021),,,
1252268,KA Levick,KA Levick (Northern Diamonds),10,26,2.6,vs Lightning (31/05/2021),2,13.0,30.0
1252268,KH Brunt,KH Brunt (Northern Diamonds),10,23,2.3,vs Lightning (31/05/2021),4,5.75,15.0
1252268,NR Sciver,NR Sciver (Northern Diamonds),10,24,2.4,vs Lightning (31/05/2021),2,12.0,30.0
1252268,KE Bryce,KE Bryce (Lightning),8,16,2.0,vs Northern Diamonds (31/05/2021),4,4.0,12.0
1252268,KL Gordon,KL Gordon (Lightning),10,25,2.5,vs Northern Diamonds (31/05/2021),,,
1252268,LF Higham,LF Higham (Lightning),8,37,4.62,vs Northern Diamonds (31/05/2021),2,18.5,24.0
1252268,S Munro,S Munro (Lightning),7,21,3.0,vs Northern Diamonds (31/05/2021),1,21.0,42.0
1252268,T Graves,T Graves (Lightning),7,32,4.57,vs Northern Diamonds (31/05/2021),2,16.0,21.0
1252268,Y Graves,Y Graves (Lightning),6,18,3.0,vs Northern Diamonds (31/05/2021),1,18.0,36.0
1252269,A Shrubsole,A Shrubsole (Western Storm),10,35,3.5,vs Central Sparks (31/05/2021),1,35.0,60.0
1252269,DR Gibson,DR Gibson (Western Storm),8,61,7.62,vs Central Sparks (31/05/2021),,,
1252269,FMK Morris,FMK Morris (Western Storm),9,44,4.89,vs Central Sparks (31/05/2021),2,22.0,27.0
1252269,GM Hennessy,GM Hennessy (Western Storm),9,75,8.33,vs Central Sparks (31/05/2021),,,
1252269,HC Knight,HC Knight (Western Storm),5,30,6.0,vs Central Sparks (31/05/2021),1,30.0,30.0
1252269,L Filer,L Filer (Western Storm),6,21,3.5,vs Central Sparks (31/05/2021),2,10.5,18.0
1252269,MJ Robbins,MJ Robbins (Western Storm),3,23,7.67,vs Central Sparks (31/05/2021),,,
1252269,EA Russell,EA Russell (Central Sparks),10,47,4.7,vs Western Storm (31/05/2021),1,47.0,60.0
1252269,EL Arlott,EL Arlott (Central Sparks),10,48,4.8,vs Western Storm (31/05/2021),2,24.0,30.0
1252269,IECM Wong,IECM Wong (Central Sparks),8,41,5.12,vs Western Storm (31/05/2021),,,
1252269,RA Fackrell,RA Fackrell (Central Sparks),9,34,3.78,vs Western Storm (31/05/2021),4,8.5,13.5
1252269,S Butler,S Butler (Central Sparks),3,28,9.33,vs Western Storm (31/05/2021),,,
1252269,S Glenn,S Glenn (Central Sparks),10,52,5.2,vs Western Storm (31/05/2021),2,26.0,30.0
1252270,CE Dean,CE Dean (Southern Vipers),10,22,2.2,vs South East Stars (31/05/2021),2,11.0,30.0
1252270,CM Taylor,CM Taylor (Southern Vipers),8,21,2.62,vs South East Stars (31/05/2021),4,5.25,12.0
1252270,DN Wyatt,DN Wyatt (Southern Vipers),7,19,2.71,vs South East Stars (31/05/2021),3,6.33,14.0
1252270,GA Elwiss,GA Elwiss (Southern Vipers),5,24,4.8,vs South East Stars (31/05/2021),,,
1252270,GL Adams,GL Adams (Southern Vipers),4,11,2.75,vs South East Stars (31/05/2021),1,11.0,24.0
1252270,TG Norris,TG Norris (Southern Vipers),6,39,6.5,vs South East Stars (31/05/2021),,,
1252270,A Capsey,A Capsey (South East Stars),2,13,6.5,vs Southern Vipers (31/05/2021),,,
1252270,AN Davidson-Richards,AN Davidson-Richards (South East Stars),2,5,2.5,vs Southern Vipers (31/05/2021),,,
1252270,BF Smith,BF Smith (South East Stars),4,25,6.25,vs Southern Vipers (31/05/2021),2,12.5,12.0
1252270,D Gregory,D Gregory (South East Stars),5,28,5.6,vs Southern Vipers (31/05/2021),,,
1252270,FR Davies,FR Davies (South East Stars),6,23,3.83,vs Southern Vipers (31/05/2021),1,23.0,36.0
1252270,GJ Gibbs,GJ Gibbs (South East Stars),1,9,9.0,vs Southern Vipers (31/05/2021),,,
1252270,NE Farrant,NE Farrant (South East Stars),9,33,3.67,vs Southern Vipers (31/05/2021),,,
1252271,A Hartley,A Hartley (Thunder),10,46,4.6,vs Sunrisers (31/05/2021),2,23.0,30.0
1252271,EL Lamb,EL Lamb (Thunder),7,32,4.57,vs Sunrisers (31/05/2021),1,32.0,42.0
1252271,HE Jones,HE Jones (Thunder),6,35,5.83,vs Sunrisers (31/05/2021),1,35.0,36.0
1252271,KL Cross,KL Cross (Thunder),9,49,5.44,vs Sunrisers (31/05/2021),3,16.33,18.0
1252271,P Cleary,P Cleary (Thunder),4,17,4.25,vs Sunrisers (31/05/2021),,,
1252271,S Ecclestone,S Ecclestone (Thunder),10,28,2.8,vs Sunrisers (31/05/2021),3,9.33,20.0
1252271,AJ Macleod,AJ Macleod (Sunrisers),4,21,5.25,vs Thunder (31/05/2021),,,
1252271,G Scrivens,G Scrivens (Sunrisers),10,51,5.1,vs Thunder (31/05/2021),1,51.0,60.0
1252271,GKS Gole,GKS Gole (Sunrisers),9,43,4.78,vs Thunder (31/05/2021),,,
1252271,KS Castle,KS Castle (Sunrisers),6,25,4.17,vs Thunder (31/05/2021),1,25.0,36.0
1252271,MK Villiers,MK Villiers (Sunrisers),10,47,4.7,vs Thunder (31/05/2021),3,15.67,20.0
1252271,ND Dattani,ND Dattani (Sunrisers),4,18,4.5,vs Thunder (31/05/2021),,,
1252271,Sonali Patel,Sonali Patel (Sunrisers),7,40,5.71,vs Thunder (31/05/2021),4,10.0,10.5
1252272,A Shrubsole,A Shrubsole (Western Storm),9,47,5.22,vs South East Stars (05/06/2021),,,
1252272,DR Gibson,DR Gibson (Western Storm),2,19,9.5,vs South East Stars (05/06/2021),,,
1252272,FMK Morris,FMK Morris (Western Storm),7,42,6.0,vs South East Stars (05/06/2021),,,
1252272,GM Hennessy,GM Hennessy (Western Storm),7,21,3.0,vs South East Stars (05/06/2021),1,21.0,42.0
1252272,HC Knight,HC Knight (Western Storm),4,29,7.25,vs South East Stars (05/06/2021),,,
1252272,L Filer,L Filer (Western Storm),8,47,5.88,vs South East Stars (05/06/2021),1,47.0,48.0
1252272,N Harvey,N Harvey (Western Storm),7,43,6.14,vs South East Stars (05/06/2021),2,21.5,21.0
1252272,AN Davidson-Richards,AN Davidson-Richards (South East Stars),4,30,7.5,vs Western Storm (05/06/2021),,,
1252272,BF Smith,BF Smith (South East Stars),10,34,3.4,vs Western Storm (05/06/2021),1,34.0,60.0
1252272,D Gregory,D Gregory (South East Stars),7,29,4.14,vs Western Storm (05/06/2021),1,29.0,42.0
1252272,FR Davies,FR Davies (South East Stars),10,48,4.8,vs Western Storm (05/06/2021),1,48.0,60.0
1252272,GJ Gibbs,GJ Gibbs (South East Stars),9,34,3.78,vs Western Storm (05/06/2021),1,34.0,54.0
1252272,NE Farrant,NE Farrant (South East Stars),10,58,5.8,vs Western Storm (05/06/2021),4,14.5,15.0
1252273,J Gardner,J Gardner (Sunrisers),1,8,8.0,vs Northern Diamonds (05/06/2021),,,
1252273,KL Coppack,KL Coppack (Sunrisers),3,14,4.67,vs Northern Diamonds (05/06/2021),1,14.0,18.0
1252273,KS Castle,KS Castle (Sunrisers),2,4,2.0,vs Northern Diamonds (05/06/2021),,,
1252273,ND Dattani,ND Dattani (Sunrisers),2,22,11.0,vs Northern Diamonds (05/06/2021),,,
1252273,BA Langston,BA Langston (Northern Diamonds),5,12,2.4,vs Sunrisers (05/06/2021),2,6.0,15.0
1252273,JL Gunn,JL Gunn (Northern Diamonds),6,10,1.67,vs Sunrisers (05/06/2021),3,3.33,12.0
1252273,KA Levick,KA Levick (Northern Diamonds),1,0,0.0,vs Sunrisers (05/06/2021),1,0.0,6.0
1252273,KH Brunt,KH Brunt (Northern Diamonds),8,11,1.38,vs Sunrisers (05/06/2021),3,3.67,16.0
1252273,LCN Smith,LCN Smith (Northern Diamonds),5,3,0.6,vs Sunrisers (05/06/2021),1,3.0,30.0
1252273,NR Sciver,NR Sciver (Northern Diamonds),5,13,2.6,vs Sunrisers (05/06/2021),,,
1252274,A Hartley,A Hartley (Thunder),10,61,6.1,vs Lightning (06/06/2021),2,30.5,30.0
1252274,EL Lamb,EL Lamb (Thunder),7,36,5.14,vs Lightning (06/06/2021),1,36.0,42.0
1252274,HE Jones,HE Jones (Thunder),4,29,7.25,vs Lightning (06/06/2021),,,
1252274,KL Cross,KL Cross (Thunder),10,52,5.2,vs Lightning (06/06/2021),,,
1252274,P Cleary,P Cleary (Thunder),9,52,5.78,vs Lightning (06/06/2021),,,
1252274,S Ecclestone,S Ecclestone (Thunder),10,23,2.3,vs Lightning (06/06/2021),2,11.5,30.0
1252274,KE Bryce,KE Bryce (Lightning),7,26,3.71,vs Thunder (06/06/2021),,,
1252274,KL Gordon,KL Gordon (Lightning),10,23,2.3,vs Thunder (06/06/2021),4,5.75,15.0
1252274,LF Higham,LF Higham (Lightning),7,10,1.43,vs Thunder (06/06/2021),3,3.33,14.0
1252274,N Harman,N Harman (Lightning),4,22,5.5,vs Thunder (06/06/2021),,,
1252274,S Munro,S Munro (Lightning),7,23,3.29,vs Thunder (06/06/2021),1,23.0,42.0
1252274,T Graves,T Graves (Lightning),5,21,4.2,vs Thunder (06/06/2021),2,10.5,15.0
1252275,CE Dean,CE Dean (Southern Vipers),10,37,3.7,vs Central Sparks (05/06/2021),3,12.33,20.0
1252275,CM Taylor,CM Taylor (Southern Vipers),10,22,2.2,vs Central Sparks (05/06/2021),3,7.33,20.0
1252275,DN Wyatt,DN Wyatt (Southern Vipers),4,23,5.75,vs Central Sparks (05/06/2021),,,
1252275,GA Elwiss,GA Elwiss (Southern Vipers),10,44,4.4,vs Central Sparks (05/06/2021),1,44.0,60.0
1252275,GL Adams,GL Adams (Southern Vipers),6,36,6.0,vs Central Sparks (05/06/2021),2,18.0,18.0
1252275,TG Norris,TG Norris (Southern Vipers),10,58,5.8,vs Central Sparks (05/06/2021),,,
1252275,EA Russell,EA Russell (Central Sparks),3,13,4.33,vs Southern Vipers (05/06/2021),1,13.0,18.0
1252275,EL Arlott,EL Arlott (Central Sparks),8,29,3.62,vs Southern Vipers (05/06/2021),5,5.8,9.6
1252275,IECM Wong,IECM Wong (Central Sparks),8,18,2.25,vs Southern Vipers (05/06/2021),3,6.0,16.0
1252275,RA Fackrell,RA Fackrell (Central Sparks),3,22,7.33,vs Southern Vipers (05/06/2021),,,
1252275,S Glenn,S Glenn (Central Sparks),6,16,2.67,vs Southern Vipers (05/06/2021),1,16.0,36.0
1252276,A Capsey,A Capsey (South East Stars),3,14,4.67,vs Northern Diamonds (12/06/2021),,,
1252276,AN Davidson-Richards,AN Davidson-Richards (South East Stars),7,49,7.0,vs Northern Diamonds (12/06/2021),,,
1252276,BF Smith,BF Smith (South East Stars),10,40,4.0,vs Northern Diamonds (12/06/2021),1,40.0,60.0
1252276,D Gregory,D Gregory (South East Stars),10,31,3.1,vs Northern Diamonds (12/06/2021),2,15.5,30.0
1252276,FR Davies,FR Davies (South East Stars),10,57,5.7,vs Northern Diamonds (12/06/2021),1,57.0,60.0
1252276,GJ Gibbs,GJ Gibbs (South East Stars),8,40,5.0,vs Northern Diamonds (12/06/2021),2,20.0,24.0
1252276,PA Franklin,PA Franklin (South East Stars),2,16,8.0,vs Northern Diamonds (12/06/2021),,,
1252276,AL MacDonald,AL MacDonald (Northern Diamonds),3,21,7.0,vs South East Stars (12/06/2021),,,
1252276,BA Langston,BA Langston (Northern Diamonds),10,62,6.2,vs South East Stars (12/06/2021),1,62.0,60.0
1252276,HJ Armitage,HJ Armitage (Northern Diamonds),3,22,7.33,vs South East Stars (12/06/2021),,,
1252276,JL Gunn,JL Gunn (Northern Diamonds),9,45,5.0,vs South East Stars (12/06/2021),2,22.5,27.0
1252276,KA Levick,KA Levick (Northern Diamonds),7,30,4.29,vs South East Stars (12/06/2021),1,30.0,42.0
1252276,LCN Smith,LCN Smith (Northern Diamonds),10,31,3.1,vs South East Stars (12/06/2021),1,31.0,60.0
1252276,PC Graham,PC Graham (Northern Diamonds),8,38,4.75,vs South East Stars (12/06/2021),1,38.0,48.0
1252277,AJ Macleod,AJ Macleod (Sunrisers),1,5,5.0,vs Lightning (12/06/2021),1,5.0,6.0
1252277,G Scrivens,G Scrivens (Sunrisers),4,21,5.25,vs Lightning (12/06/2021),,,
1252277,GKS Gole,GKS Gole (Sunrisers),3,10,3.33,vs Lightning (12/06/2021),,,
1252277,J Gardner,J Gardner (Sunrisers),6,35,5.83,vs Lightning (12/06/2021),1,35.0,36.0
1252277,KL Coppack,KL Coppack (Sunrisers),7,22,3.14,vs Lightning (12/06/2021),,,
1252277,KL Midwood,KL Midwood (Sunrisers),8,42,5.25,vs Lightning (12/06/2021),1,42.0,48.0
