bowler,bowler_labels,econ_rate,overcounts,overs_bowled
A Capsey,A Capsey (South East Stars),4.62,69,31 - 70
A Griffiths,A Griffiths (Western Storm),5.32,39,31 - 70
A Hartley,A Hartley (Thunder),3.85,123,>= 71
A Shrubsole,A Shrubsole (Western Storm),3.76,38,31 - 70
AD Presland,AD Presland (Lightning),4.73,27,11 - 30
AE Dyson,AE Dyson (Thunder),5.72,33,31 - 70
AG Gordon,AG Gordon (South East Stars),5.08,18,11 - 30
AJ Macleod,AJ Macleod (Sunrisers),5.93,46,31 - 70
AL MacDonald,AL MacDonald (Northern Diamonds),4.35,26,11 - 30
AN Davidson-Richards,AN Davidson-Richards (South East Stars),6.12,44,31 - 70
AZ Monaghan,AZ Monaghan (Southern Vipers),5.5,6,<= 10
Anisha Patel,Anisha Patel (Central Sparks),5.18,50,31 - 70
B Ellis,B Ellis (Lightning),4.95,50,31 - 70
BA Langston,BA Langston (Northern Diamonds),3.81,133,>= 71
BF Smith,BF Smith (South East Stars),4.7,65,31 - 70
C Brewer,C Brewer (South East Stars),4.75,8,<= 10
C Nicholas,C Nicholas (Western Storm),4.21,40,31 - 70
C Skelton,C Skelton (Western Storm),5.84,6,<= 10
CE Dean,CE Dean (Southern Vipers),4.31,98,>= 71
CK Boycott,CK Boycott (Central Sparks),4.81,62,31 - 70
CM Taylor,CM Taylor (Southern Vipers),3.53,116,>= 71
D Gregory,D Gregory (South East Stars),4.28,72,>= 71
D Perrin,D Perrin (Central Sparks),10.0,1,<= 10
DN Wyatt,DN Wyatt (Southern Vipers),4.43,19,11 - 30
DR Gibson,DR Gibson (Western Storm),6.87,38,31 - 70
E Corney,E Corney (Western Storm),4.41,20,11 - 30
E Gray,E Gray (South East Stars),5.23,11,11 - 30
E Jones,E Jones (Central Sparks),6.12,20,11 - 30
E Thorpe,E Thorpe (Sunrisers),7.11,16,11 - 30
E Windsor,E Windsor (Southern Vipers),3.0,5,<= 10
EA Russell,EA Russell (Central Sparks),4.72,70,31 - 70
EF Telford,EF Telford (Northern Diamonds),7.47,14,11 - 30
EL Arlott,EL Arlott (Central Sparks),4.55,104,>= 71
EL Lamb,EL Lamb (Thunder),4.53,44,31 - 70
EM Edgcombe,EM Edgcombe (Western Storm),5.11,14,11 - 30
Emma Jones,Emma Jones (South East Stars),5.16,7,<= 10
FMK Morris,FMK Morris (Western Storm),5.11,94,>= 71
FR Davies,FR Davies (South East Stars),4.31,49,31 - 70
G Ballinger,G Ballinger (Lightning),5.91,37,31 - 70
G Scrivens,G Scrivens (Sunrisers),5.38,73,>= 71
GA Elwiss,GA Elwiss (Southern Vipers),4.66,54,31 - 70
GEB Boyce,GEB Boyce (Thunder),10.0,1,<= 10
GJ Gibbs,GJ Gibbs (South East Stars),6.83,41,31 - 70
GK Davis,GK Davis (Central Sparks),3.94,59,31 - 70
GKS Gole,GKS Gole (Sunrisers),6.35,27,11 - 30
GL Adams,GL Adams (Southern Vipers),4.28,78,>= 71
GM Hennessy,GM Hennessy (Western Storm),4.78,111,>= 71
HC Knight,HC Knight (Western Storm),6.15,23,11 - 30
HE Jones,HE Jones (Thunder),4.1,93,>= 71
HJ Armitage,HJ Armitage (Northern Diamonds),5.01,52,31 - 70
HL Baker,HL Baker (Central Sparks),3.75,20,11 - 30
HL Fenby,HL Fenby (Northern Diamonds),6.3,11,11 - 30
HV Jones,HV Jones (South East Stars),4.63,53,31 - 70
IECM Wong,IECM Wong (Central Sparks),5.06,86,>= 71
J Gardner,J Gardner (Sunrisers),6.26,62,31 - 70
J Groves,J Groves (Lightning),7.38,8,<= 10
J Roberts,J Roberts (Western Storm),5.0,3,<= 10
JL Gunn,JL Gunn (Northern Diamonds),4.15,91,>= 71
K Moore,K Moore (South East Stars),4.89,13,11 - 30
KA Levick,KA Levick (Northern Diamonds),3.67,120,>= 71
KE Bryce,KE Bryce (Lightning),3.84,119,>= 71
KH Brunt,KH Brunt (Northern Diamonds),2.83,45,31 - 70
KJ Wolfe,KJ Wolfe (Sunrisers),4.78,45,31 - 70
KL Coppack,KL Coppack (Sunrisers),5.19,34,31 - 70
KL Cross,KL Cross (Thunder),4.38,56,31 - 70
KL George,KL George (Western Storm),3.63,16,11 - 30
KL Gordon,KL Gordon (Lightning),3.51,99,>= 71
KL Midwood,KL Midwood (Sunrisers),4.93,47,31 - 70
KS Castle,KS Castle (Sunrisers),4.96,61,31 - 70
L Filer,L Filer (Western Storm),5.93,51,31 - 70
L Heap,L Heap (Thunder),5.74,25,11 - 30
L Jackson,L Jackson (Thunder),3.94,44,31 - 70
L Tipton,L Tipton (Northern Diamonds),6.0,2,<= 10
LA Parfitt,LA Parfitt (Western Storm),5.67,3,<= 10
LCN Smith,LCN Smith (Northern Diamonds),3.56,104,>= 71
LF Higham,LF Higham (Lightning),5.56,76,>= 71
LG Kellogg,LG Kellogg (Lightning),5.44,10,<= 10
LK Bell,LK Bell (Southern Vipers),4.38,89,>= 71
ME Bouchier,ME Bouchier (Southern Vipers),5.01,23,11 - 30
MJ Robbins,MJ Robbins (Western Storm),7.97,9,<= 10
MK Villiers,MK Villiers (Sunrisers),5.06,50,31 - 70
MS Belt,MS Belt (South East Stars),4.94,17,11 - 30
Marie Kelly,Marie Kelly (Central Sparks),4.5,2,<= 10
N Brown,N Brown (Thunder),4.91,53,31 - 70
N Harman,N Harman (Lightning),5.69,24,11 - 30
N Harvey,N Harvey (Western Storm),4.51,40,31 - 70
N Holland,N Holland (Western Storm),6.12,6,<= 10
ND Dattani,ND Dattani (Sunrisers),6.94,48,31 - 70
NE Farrant,NE Farrant (South East Stars),3.81,80,>= 71
NR Sciver,NR Sciver (Northern Diamonds),3.66,39,31 - 70
Olivia Thomas,Olivia Thomas (Thunder),7.25,4,<= 10
P Cleary,P Cleary (Thunder),5.17,31,31 - 70
PA Franklin,PA Franklin (South East Stars),4.58,21,11 - 30
PAC Cowdrill,PAC Cowdrill (Southern Vipers),4.19,15,11 - 30
PC Graham,PC Graham (Northern Diamonds),4.74,87,>= 71
PJ Scholfield,PJ Scholfield (Southern Vipers),4.33,73,>= 71
R MacDonald-Gay,R MacDonald-Gay (South East Stars),3.47,13,11 - 30
R Slater,R Slater (Northern Diamonds),4.36,22,11 - 30
RA Fackrell,RA Fackrell (Central Sparks),5.53,47,31 - 70
S Butler,S Butler (Central Sparks),6.47,21,11 - 30
S Ecclestone,S Ecclestone (Thunder),3.28,48,31 - 70
S Glenn,S Glenn (Central Sparks),3.66,53,31 - 70
S Hutchins,S Hutchins (Western Storm),4.59,36,31 - 70
S Munro,S Munro (Lightning),4.98,78,>= 71
SB Odedra,SB Odedra (Lightning),5.98,13,11 - 30
SIR Dunkley,SIR Dunkley (South East Stars),4.06,15,11 - 30
SN Luff,SN Luff (Western Storm),7.38,6,<= 10
Sonali Patel,Sonali Patel (Sunrisers),5.7,58,31 - 70
T Graves,T Graves (Lightning),4.26,54,31 - 70
TF Brookes,TF Brookes (Central Sparks),4.3,10,<= 10
TG Norris,TG Norris (Southern Vipers),4.94,114,>= 71
Y Graves,Y Graves (Lightning),4.78,38,31 - 70
