match_id,season,start_date,innings,batting_team,bowling_team,bowler,wicketcounts,bowler_labels,message
1229350,2020,27-09-2020,2,Northern Diamonds,Southern Vipers,CM Taylor,6,CM Taylor (Southern Vipers),vs Northern Diamonds (27-09-2020)
1252266,2021,29-05-2021,2,Sunrisers,South East Stars,NE Farrant,5,NE Farrant (South East Stars),vs Sunrisers (29-05-2021)
1252280,2021,10-09-2021,1,Western Storm,Northern Diamonds,LCN Smith,5,LCN Smith (Northern Diamonds),vs Western Storm (10-09-2021)
1229327,2020,29-08-2020,1,Central Sparks,Northern Diamonds,KH Brunt,5,KH Brunt (Northern Diamonds),vs Central Sparks (29-08-2020)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,FMK Morris,5,FMK Morris (Western Storm),vs Sunrisers (05-09-2020)
1252275,2021,05-06-2021,2,Southern Vipers,Central Sparks,EL Arlott,5,EL Arlott (Central Sparks),vs Southern Vipers (05-06-2021)
1252264,2021,29-05-2021,1,Northern Diamonds,Central Sparks,IECM Wong,5,IECM Wong (Central Sparks),vs Northern Diamonds (29-05-2021)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,KE Bryce,5,KE Bryce (Lightning),vs Northern Diamonds (31-08-2020)
1252289,2021,18-09-2021,2,South East Stars,Thunder,HE Jones,5,HE Jones (Thunder),vs South East Stars (18-09-2021)
1229344,2020,13-09-2020,2,Lightning,Thunder,A Hartley,4,A Hartley (Thunder),vs Lightning (13-09-2020)
1252268,2021,31-05-2021,1,Northern Diamonds,Lightning,KE Bryce,4,KE Bryce (Lightning),vs Northern Diamonds (31-05-2021)
1252272,2021,05-06-2021,1,Western Storm,South East Stars,NE Farrant,4,NE Farrant (South East Stars),vs Western Storm (05-06-2021)
1252270,2021,31-05-2021,1,South East Stars,Southern Vipers,CM Taylor,4,CM Taylor (Southern Vipers),vs South East Stars (31-05-2021)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,Sonali Patel,4,Sonali Patel (Sunrisers),vs South East Stars (31-08-2020)
1229342,2020,13-09-2020,2,Western Storm,Southern Vipers,CM Taylor,4,CM Taylor (Southern Vipers),vs Western Storm (13-09-2020)
1252293,2021,25-09-2021,1,Northern Diamonds,Southern Vipers,GL Adams,4,GL Adams (Southern Vipers),vs Northern Diamonds (25-09-2021)
1252274,2021,06-06-2021,2,Thunder,Lightning,KL Gordon,4,KL Gordon (Lightning),vs Thunder (06-06-2021)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,TG Norris,4,TG Norris (Southern Vipers),vs Western Storm (31-08-2020)
1229346,2020,19-09-2020,1,South East Stars,Southern Vipers,LK Bell,4,LK Bell (Southern Vipers),vs South East Stars (19-09-2020)
1252269,2021,31-05-2021,2,Western Storm,Central Sparks,RA Fackrell,4,RA Fackrell (Central Sparks),vs Western Storm (31-05-2021)
1252267,2021,29-05-2021,2,Southern Vipers,Lightning,KL Gordon,4,KL Gordon (Lightning),vs Southern Vipers (29-05-2021)
1229344,2020,13-09-2020,1,Thunder,Lightning,KE Bryce,4,KE Bryce (Lightning),vs Thunder (13-09-2020)
1252271,2021,31-05-2021,1,Thunder,Sunrisers,Sonali Patel,4,Sonali Patel (Sunrisers),vs Thunder (31-05-2021)
1252283,2021,10-09-2021,1,Thunder,Southern Vipers,TG Norris,4,TG Norris (Southern Vipers),vs Thunder (10-09-2021)
1252284,2021,12-09-2021,2,Thunder,Northern Diamonds,KA Levick,4,KA Levick (Northern Diamonds),vs Thunder (12-09-2021)
1252285,2021,12-09-2021,2,South East Stars,Central Sparks,GK Davis,4,GK Davis (Central Sparks),vs South East Stars (12-09-2021)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,GM Hennessy,4,GM Hennessy (Western Storm),vs South East Stars (29-08-2020)
1229345,2020,13-09-2020,1,Northern Diamonds,Central Sparks,EA Russell,4,EA Russell (Central Sparks),vs Northern Diamonds (13-09-2020)
1229334,2020,05-09-2020,1,Thunder,Central Sparks,CK Boycott,4,CK Boycott (Central Sparks),vs Thunder (05-09-2020)
1252277,2021,12-06-2021,1,Sunrisers,Lightning,T Graves,4,T Graves (Lightning),vs Sunrisers (12-06-2021)
1252268,2021,31-05-2021,2,Lightning,Northern Diamonds,KH Brunt,4,KH Brunt (Northern Diamonds),vs Lightning (31-05-2021)
1229348,2020,19-09-2020,2,Central Sparks,Lightning,KE Bryce,3,KE Bryce (Lightning),vs Central Sparks (19-09-2020)
1229348,2020,19-09-2020,2,Central Sparks,Lightning,B Ellis,3,B Ellis (Lightning),vs Central Sparks (19-09-2020)
1229350,2020,27-09-2020,1,Southern Vipers,Northern Diamonds,KA Levick,3,KA Levick (Northern Diamonds),vs Southern Vipers (27-09-2020)
1252287,2021,12-09-2021,1,Southern Vipers,Sunrisers,Sonali Patel,3,Sonali Patel (Sunrisers),vs Southern Vipers (12-09-2021)
1229343,2020,13-09-2020,1,Sunrisers,South East Stars,NE Farrant,3,NE Farrant (South East Stars),vs Sunrisers (13-09-2020)
1229336,2020,05-09-2020,2,Northern Diamonds,Lightning,LF Higham,3,LF Higham (Lightning),vs Northern Diamonds (05-09-2020)
1229342,2020,13-09-2020,2,Western Storm,Southern Vipers,CE Dean,3,CE Dean (Southern Vipers),vs Western Storm (13-09-2020)
1252267,2021,29-05-2021,1,Lightning,Southern Vipers,TG Norris,3,TG Norris (Southern Vipers),vs Lightning (29-05-2021)
1252266,2021,29-05-2021,1,South East Stars,Sunrisers,KS Castle,3,KS Castle (Sunrisers),vs South East Stars (29-05-2021)
1252266,2021,29-05-2021,2,Sunrisers,South East Stars,BF Smith,3,BF Smith (South East Stars),vs Sunrisers (29-05-2021)
1252282,2021,10-09-2021,1,Sunrisers,Central Sparks,RA Fackrell,3,RA Fackrell (Central Sparks),vs Sunrisers (10-09-2021)
1229337,2020,05-09-2020,2,South East Stars,Southern Vipers,TG Norris,3,TG Norris (Southern Vipers),vs South East Stars (05-09-2020)
1229341,2020,11-09-2020,1,Lightning,Central Sparks,Anisha Patel,3,Anisha Patel (Central Sparks),vs Lightning (11-09-2020)
1229340,2020,11-09-2020,2,Sunrisers,Southern Vipers,TG Norris,3,TG Norris (Southern Vipers),vs Sunrisers (11-09-2020)
1252281,2021,10-09-2021,2,Lightning,South East Stars,BF Smith,3,BF Smith (South East Stars),vs Lightning (10-09-2021)
1229339,2020,11-09-2020,1,South East Stars,Western Storm,GM Hennessy,3,GM Hennessy (Western Storm),vs South East Stars (11-09-2020)
1252265,2021,29-05-2021,1,Thunder,Western Storm,GM Hennessy,3,GM Hennessy (Western Storm),vs Thunder (29-05-2021)
1229341,2020,11-09-2020,2,Central Sparks,Lightning,AD Presland,3,AD Presland (Lightning),vs Central Sparks (11-09-2020)
1229338,2020,10-09-2020,2,Thunder,Northern Diamonds,KA Levick,3,KA Levick (Northern Diamonds),vs Thunder (10-09-2020)
1252265,2021,29-05-2021,1,Thunder,Western Storm,A Shrubsole,3,A Shrubsole (Western Storm),vs Thunder (29-05-2021)
1252281,2021,10-09-2021,1,South East Stars,Lightning,Y Graves,3,Y Graves (Lightning),vs South East Stars (10-09-2021)
1252264,2021,29-05-2021,2,Central Sparks,Northern Diamonds,LCN Smith,3,LCN Smith (Northern Diamonds),vs Central Sparks (29-05-2021)
1252291,2021,18-09-2021,2,Southern Vipers,Northern Diamonds,PC Graham,3,PC Graham (Northern Diamonds),vs Southern Vipers (18-09-2021)
1252285,2021,12-09-2021,2,South East Stars,Central Sparks,RA Fackrell,3,RA Fackrell (Central Sparks),vs South East Stars (12-09-2021)
1252270,2021,31-05-2021,1,South East Stars,Southern Vipers,DN Wyatt,3,DN Wyatt (Southern Vipers),vs South East Stars (31-05-2021)
1252293,2021,25-09-2021,2,Southern Vipers,Northern Diamonds,JL Gunn,3,JL Gunn (Northern Diamonds),vs Southern Vipers (25-09-2021)
1252286,2021,12-09-2021,1,Western Storm,Lightning,KL Gordon,3,KL Gordon (Lightning),vs Western Storm (12-09-2021)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,PJ Scholfield,3,PJ Scholfield (Southern Vipers),vs Sunrisers (29-08-2020)
1229345,2020,13-09-2020,1,Northern Diamonds,Central Sparks,HL Baker,3,HL Baker (Central Sparks),vs Northern Diamonds (13-09-2020)
1229346,2020,19-09-2020,2,Southern Vipers,South East Stars,D Gregory,3,D Gregory (South East Stars),vs Southern Vipers (19-09-2020)
1252278,2021,12-06-2021,1,Central Sparks,Thunder,HE Jones,3,HE Jones (Thunder),vs Central Sparks (12-06-2021)
1229329,2020,29-08-2020,1,South East Stars,Western Storm,FMK Morris,3,FMK Morris (Western Storm),vs South East Stars (29-08-2020)
1229328,2020,29-08-2020,1,Thunder,Lightning,S Munro,3,S Munro (Lightning),vs Thunder (29-08-2020)
1252275,2021,05-06-2021,2,Southern Vipers,Central Sparks,IECM Wong,3,IECM Wong (Central Sparks),vs Southern Vipers (05-06-2021)
1252278,2021,12-06-2021,1,Central Sparks,Thunder,L Jackson,3,L Jackson (Thunder),vs Central Sparks (12-06-2021)
1252275,2021,05-06-2021,1,Central Sparks,Southern Vipers,CM Taylor,3,CM Taylor (Southern Vipers),vs Central Sparks (05-06-2021)
1252275,2021,05-06-2021,1,Central Sparks,Southern Vipers,CE Dean,3,CE Dean (Southern Vipers),vs Central Sparks (05-06-2021)
1229347,2020,19-09-2020,1,Thunder,Northern Diamonds,BA Langston,3,BA Langston (Northern Diamonds),vs Thunder (19-09-2020)
1229330,2020,31-08-2020,2,Western Storm,Southern Vipers,GL Adams,3,GL Adams (Southern Vipers),vs Western Storm (31-08-2020)
1252274,2021,06-06-2021,2,Thunder,Lightning,LF Higham,3,LF Higham (Lightning),vs Thunder (06-06-2021)
1229344,2020,13-09-2020,2,Lightning,Thunder,L Heap,3,L Heap (Thunder),vs Lightning (13-09-2020)
1252279,2021,12-06-2021,1,Western Storm,Southern Vipers,CE Dean,3,CE Dean (Southern Vipers),vs Western Storm (12-06-2021)
1252278,2021,12-06-2021,2,Thunder,Central Sparks,GK Davis,3,GK Davis (Central Sparks),vs Thunder (12-06-2021)
1252271,2021,31-05-2021,1,Thunder,Sunrisers,MK Villiers,3,MK Villiers (Sunrisers),vs Thunder (31-05-2021)
1252283,2021,10-09-2021,1,Thunder,Southern Vipers,PJ Scholfield,3,PJ Scholfield (Southern Vipers),vs Thunder (10-09-2021)
1252265,2021,29-05-2021,2,Western Storm,Thunder,KL Cross,3,KL Cross (Thunder),vs Western Storm (29-05-2021)
1252271,2021,31-05-2021,2,Sunrisers,Thunder,KL Cross,3,KL Cross (Thunder),vs Sunrisers (31-05-2021)
1252271,2021,31-05-2021,2,Sunrisers,Thunder,S Ecclestone,3,S Ecclestone (Thunder),vs Sunrisers (31-05-2021)
1252279,2021,12-06-2021,1,Western Storm,Southern Vipers,LK Bell,3,LK Bell (Southern Vipers),vs Western Storm (12-06-2021)
1252265,2021,29-05-2021,2,Western Storm,Thunder,S Ecclestone,3,S Ecclestone (Thunder),vs Western Storm (29-05-2021)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,IECM Wong,3,IECM Wong (Central Sparks),vs Thunder (31-08-2020)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,GK Davis,3,GK Davis (Central Sparks),vs Thunder (31-08-2020)
1252288,2021,18-09-2021,1,Lightning,Central Sparks,IECM Wong,3,IECM Wong (Central Sparks),vs Lightning (18-09-2021)
1252273,2021,05-06-2021,1,Sunrisers,Northern Diamonds,JL Gunn,3,JL Gunn (Northern Diamonds),vs Sunrisers (05-06-2021)
1252273,2021,05-06-2021,1,Sunrisers,Northern Diamonds,KH Brunt,3,KH Brunt (Northern Diamonds),vs Sunrisers (05-06-2021)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,BF Smith,3,BF Smith (South East Stars),vs Sunrisers (31-08-2020)
1229350,2020,27-09-2020,1,Southern Vipers,Northern Diamonds,HJ Armitage,2,HJ Armitage (Northern Diamonds),vs Southern Vipers (27-09-2020)
1252284,2021,12-09-2021,1,Northern Diamonds,Thunder,A Hartley,2,A Hartley (Thunder),vs Northern Diamonds (12-09-2021)
1252285,2021,12-09-2021,1,Central Sparks,South East Stars,R MacDonald-Gay,2,R MacDonald-Gay (South East Stars),vs Central Sparks (12-09-2021)
1252284,2021,12-09-2021,2,Thunder,Northern Diamonds,HJ Armitage,2,HJ Armitage (Northern Diamonds),vs Thunder (12-09-2021)
1229349,2020,19-09-2020,2,Sunrisers,Western Storm,GM Hennessy,2,GM Hennessy (Western Storm),vs Sunrisers (19-09-2020)
1252285,2021,12-09-2021,1,Central Sparks,South East Stars,AN Davidson-Richards,2,AN Davidson-Richards (South East Stars),vs Central Sparks (12-09-2021)
1252285,2021,12-09-2021,1,Central Sparks,South East Stars,BF Smith,2,BF Smith (South East Stars),vs Central Sparks (12-09-2021)
1229349,2020,19-09-2020,1,Western Storm,Sunrisers,KJ Wolfe,2,KJ Wolfe (Sunrisers),vs Western Storm (19-09-2020)
1229349,2020,19-09-2020,1,Western Storm,Sunrisers,AJ Macleod,2,AJ Macleod (Sunrisers),vs Western Storm (19-09-2020)
1229348,2020,19-09-2020,2,Central Sparks,Lightning,LF Higham,2,LF Higham (Lightning),vs Central Sparks (19-09-2020)
1229348,2020,19-09-2020,2,Central Sparks,Lightning,KL Gordon,2,KL Gordon (Lightning),vs Central Sparks (19-09-2020)
1229348,2020,19-09-2020,1,Lightning,Central Sparks,Anisha Patel,2,Anisha Patel (Central Sparks),vs Lightning (19-09-2020)
1229347,2020,19-09-2020,1,Thunder,Northern Diamonds,PC Graham,2,PC Graham (Northern Diamonds),vs Thunder (19-09-2020)
1229347,2020,19-09-2020,1,Thunder,Northern Diamonds,KA Levick,2,KA Levick (Northern Diamonds),vs Thunder (19-09-2020)
1229347,2020,19-09-2020,1,Thunder,Northern Diamonds,JL Gunn,2,JL Gunn (Northern Diamonds),vs Thunder (19-09-2020)
1229346,2020,19-09-2020,2,Southern Vipers,South East Stars,HV Jones,2,HV Jones (South East Stars),vs Southern Vipers (19-09-2020)
1252283,2021,10-09-2021,2,Southern Vipers,Thunder,KL Cross,2,KL Cross (Thunder),vs Southern Vipers (10-09-2021)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,CE Dean,2,CE Dean (Southern Vipers),vs Sunrisers (29-08-2020)
1252283,2021,10-09-2021,2,Southern Vipers,Thunder,HE Jones,2,HE Jones (Thunder),vs Southern Vipers (10-09-2021)
1252269,2021,31-05-2021,2,Western Storm,Central Sparks,EL Arlott,2,EL Arlott (Central Sparks),vs Western Storm (31-05-2021)
1252270,2021,31-05-2021,1,South East Stars,Southern Vipers,CE Dean,2,CE Dean (Southern Vipers),vs South East Stars (31-05-2021)
1252280,2021,10-09-2021,2,Northern Diamonds,Western Storm,S Hutchins,2,S Hutchins (Western Storm),vs Northern Diamonds (10-09-2021)
1252270,2021,31-05-2021,2,Southern Vipers,South East Stars,BF Smith,2,BF Smith (South East Stars),vs Southern Vipers (31-05-2021)
1252280,2021,10-09-2021,1,Western Storm,Northern Diamonds,KA Levick,2,KA Levick (Northern Diamonds),vs Western Storm (10-09-2021)
1252271,2021,31-05-2021,2,Sunrisers,Thunder,A Hartley,2,A Hartley (Thunder),vs Sunrisers (31-05-2021)
1252280,2021,10-09-2021,1,Western Storm,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Western Storm (10-09-2021)
1252272,2021,05-06-2021,2,South East Stars,Western Storm,N Harvey,2,N Harvey (Western Storm),vs South East Stars (05-06-2021)
1252273,2021,05-06-2021,1,Sunrisers,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Sunrisers (05-06-2021)
1252278,2021,12-06-2021,2,Thunder,Central Sparks,S Glenn,2,S Glenn (Central Sparks),vs Thunder (12-06-2021)
1252274,2021,06-06-2021,1,Lightning,Thunder,A Hartley,2,A Hartley (Thunder),vs Lightning (06-06-2021)
1252274,2021,06-06-2021,1,Lightning,Thunder,S Ecclestone,2,S Ecclestone (Thunder),vs Lightning (06-06-2021)
1252274,2021,06-06-2021,2,Thunder,Lightning,T Graves,2,T Graves (Lightning),vs Thunder (06-06-2021)
1252275,2021,05-06-2021,1,Central Sparks,Southern Vipers,GL Adams,2,GL Adams (Southern Vipers),vs Central Sparks (05-06-2021)
1252277,2021,12-06-2021,2,Lightning,Sunrisers,KS Castle,2,KS Castle (Sunrisers),vs Lightning (12-06-2021)
1252276,2021,12-06-2021,1,South East Stars,Northern Diamonds,JL Gunn,2,JL Gunn (Northern Diamonds),vs South East Stars (12-06-2021)
1252276,2021,12-06-2021,2,Northern Diamonds,South East Stars,D Gregory,2,D Gregory (South East Stars),vs Northern Diamonds (12-06-2021)
1252276,2021,12-06-2021,2,Northern Diamonds,South East Stars,GJ Gibbs,2,GJ Gibbs (South East Stars),vs Northern Diamonds (12-06-2021)
1252269,2021,31-05-2021,2,Western Storm,Central Sparks,S Glenn,2,S Glenn (Central Sparks),vs Western Storm (31-05-2021)
1252269,2021,31-05-2021,1,Central Sparks,Western Storm,L Filer,2,L Filer (Western Storm),vs Central Sparks (31-05-2021)
1252283,2021,10-09-2021,2,Southern Vipers,Thunder,A Hartley,2,A Hartley (Thunder),vs Southern Vipers (10-09-2021)
1252281,2021,10-09-2021,1,South East Stars,Lightning,KE Bryce,2,KE Bryce (Lightning),vs South East Stars (10-09-2021)
1252264,2021,29-05-2021,1,Northern Diamonds,Central Sparks,S Butler,2,S Butler (Central Sparks),vs Northern Diamonds (29-05-2021)
1252264,2021,29-05-2021,2,Central Sparks,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Central Sparks (29-05-2021)
1252283,2021,10-09-2021,1,Thunder,Southern Vipers,LK Bell,2,LK Bell (Southern Vipers),vs Thunder (10-09-2021)
1252264,2021,29-05-2021,2,Central Sparks,Northern Diamonds,KH Brunt,2,KH Brunt (Northern Diamonds),vs Central Sparks (29-05-2021)
1252265,2021,29-05-2021,2,Western Storm,Thunder,HE Jones,2,HE Jones (Thunder),vs Western Storm (29-05-2021)
1252267,2021,29-05-2021,1,Lightning,Southern Vipers,CE Dean,2,CE Dean (Southern Vipers),vs Lightning (29-05-2021)
1252282,2021,10-09-2021,1,Sunrisers,Central Sparks,E Jones,2,E Jones (Central Sparks),vs Sunrisers (10-09-2021)
1252281,2021,10-09-2021,2,Lightning,South East Stars,PA Franklin,2,PA Franklin (South East Stars),vs Lightning (10-09-2021)
1252281,2021,10-09-2021,2,Lightning,South East Stars,AN Davidson-Richards,2,AN Davidson-Richards (South East Stars),vs Lightning (10-09-2021)
1229346,2020,19-09-2020,1,South East Stars,Southern Vipers,CM Taylor,2,CM Taylor (Southern Vipers),vs South East Stars (19-09-2020)
1252281,2021,10-09-2021,2,Lightning,South East Stars,A Capsey,2,A Capsey (South East Stars),vs Lightning (10-09-2021)
1252268,2021,31-05-2021,1,Northern Diamonds,Lightning,T Graves,2,T Graves (Lightning),vs Northern Diamonds (31-05-2021)
1252268,2021,31-05-2021,2,Lightning,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Lightning (31-05-2021)
1252268,2021,31-05-2021,2,Lightning,Northern Diamonds,KA Levick,2,KA Levick (Northern Diamonds),vs Lightning (31-05-2021)
1252268,2021,31-05-2021,2,Lightning,Northern Diamonds,NR Sciver,2,NR Sciver (Northern Diamonds),vs Lightning (31-05-2021)
1252281,2021,10-09-2021,1,South East Stars,Lightning,KL Gordon,2,KL Gordon (Lightning),vs South East Stars (10-09-2021)
1252269,2021,31-05-2021,1,Central Sparks,Western Storm,FMK Morris,2,FMK Morris (Western Storm),vs Central Sparks (31-05-2021)
1252268,2021,31-05-2021,1,Northern Diamonds,Lightning,LF Higham,2,LF Higham (Lightning),vs Northern Diamonds (31-05-2021)
