match_id,Team1,Team1_batting_score,Team1_bowling_score,Team2,Team2_batting_score,Team2_bowling_score,Winner
1229326,Sunrisers,0.3518848075701238,0.22636178181133815,Southern Vipers,0.4320889232707139,0.5750765978247111,Southern Vipers
1229327,Central Sparks,0.5076221497422128,0.3847185792055347,Northern Diamonds,0.4387887612046212,0.6522755872471525,Northern Diamonds
1229328,Thunder,0.3750126063249775,0.42703324123064357,Lightning,0.4885988783702571,0.43375348166792166,Thunder
1229329,South East Stars,0.3584242677155223,0.3271967928634012,Western Storm,0.4341346015655781,0.27612295744931153,Western Storm
1229330,Southern Vipers,0.4320889232707139,0.5750765978247111,Western Storm,0.42491024169748276,0.27090231671752524,Southern Vipers
1229331,South East Stars,0.3584242677155223,0.3271967928634012,Sunrisers,0.3518848075701238,0.22636178181133815,South East Stars
1229332,Thunder,0.3750126063249775,0.42703324123064357,Central Sparks,0.4530400813236742,0.4248610746818496,Central Sparks
1229333,Northern Diamonds,0.4387887612046212,0.6522755872471525,Lightning,0.4398042041259611,0.43375348166792166,Northern Diamonds
1229334,Thunder,0.29289974738063823,0.3511372159340556,Central Sparks,0.3626318105842453,0.3484596110588777,Central Sparks
1229335,Western Storm,0.4077756777040194,0.2857709620615888,Sunrisers,0.38730769489560185,0.19363732369561854,Western Storm
1229336,Lightning,0.44264933237468,0.33396750130006086,Northern Diamonds,0.3984285942029979,0.48703193170241976,Northern Diamonds
1229337,Southern Vipers,0.3591367117761578,0.6738615178286248,South East Stars,0.2823041583885772,0.2942068015830135,Southern Vipers
1229338,Northern Diamonds,0.431740812312106,0.48703193170241976,Thunder,0.27446335741927275,0.40966008525639824,Northern Diamonds
1229339,South East Stars,0.29095251182428916,0.2641792047352639,Western Storm,0.38366074414406637,0.25630393330753065,Western Storm
1229340,Southern Vipers,0.37987557055543264,0.6738615178286248,Sunrisers,0.3645646460145839,0.20326147279288373,Southern Vipers
1229341,Lightning,0.44264933237468,0.37380497270534,Central Sparks,0.3753416181645183,0.401275273402636,Lightning
1229342,Southern Vipers,0.37987557055543264,0.6738615178286248,Western Storm,0.38366074414406637,0.25630393330753065,Southern Vipers
1229343,Sunrisers,0.33781627371280604,0.22866915689199419,South East Stars,0.30453629393386883,0.3571032852587545,South East Stars
1229344,Thunder,0.27446335741927275,0.40966008525639824,Lightning,0.44264933237468,0.4106195212182275,Thunder
1229345,Northern Diamonds,0.431740812312106,0.48703193170241976,Central Sparks,0.3653267084825006,0.30445415384450536,Central Sparks
1229346,South East Stars,0.3397205093916672,0.3594330920274222,Southern Vipers,0.37987557055543264,0.6613463670043213,Southern Vipers
1229347,Thunder,0.25683242283970587,0.38515065318224095,Northern Diamonds,0.431740812312106,0.58932178379709,Northern Diamonds
1229348,Lightning,0.44264933237468,0.45883878174840237,Central Sparks,0.4169739427231974,0.3898780695762891,Lightning
1229349,Western Storm,0.3827535225162867,0.23571778272660718,Sunrisers,0.3486206189443034,0.22866915689199419,Western Storm
1229350,Southern Vipers,0.37987557055543264,0.6613463670043213,Northern Diamonds,0.4683370623346225,0.58932178379709,Southern Vipers
1252264,Northern Diamonds,0.4396741529472359,0.6522755872471525,Central Sparks,0.43485901276820627,0.4274486743122275,Central Sparks
1252265,Thunder,0.3228059998805411,0.428429864406167,Western Storm,0.5188849943616523,0.2697486386105884,Western Storm
1252266,South East Stars,0.38808523499330466,0.3526879031886726,Sunrisers,0.35339184836426507,0.17462206641680975,South East Stars
1252267,Lightning,0.4222402414671233,0.48398559488215537,Southern Vipers,0.45332572993692366,0.5971593178520493,Southern Vipers
1252268,Northern Diamonds,0.4396741529472359,0.5627719666643161,Lightning,0.4055705660879227,0.5523828206041098,Northern Diamonds
1252269,Central Sparks,0.43485901276820627,0.4274486743122275,Western Storm,0.5188849943616523,0.2697486386105884,Central Sparks
1252270,South East Stars,0.38808523499330466,0.3526879031886726,Southern Vipers,0.42039941312120827,0.5793483545889052,Southern Vipers
1252271,Thunder,0.3228059998805411,0.428429864406167,Sunrisers,0.39038419188573503,0.2110946273618927,Thunder
1252272,Western Storm,0.5188849943616523,0.2697486386105884,South East Stars,0.38808523499330466,0.3526879031886726,South East Stars
1252273,Sunrisers,0.3604929012061382,0.16380323116629436,Northern Diamonds,0.4396741529472359,0.6522755872471525,Northern Diamonds
1252274,Lightning,0.45263170917782897,0.4587902608436121,Thunder,0.3228059998805411,0.428429864406167,Lightning
1252275,Central Sparks,0.43485901276820627,0.4274486743122275,Southern Vipers,0.42039941312120827,0.5793483545889052,Central Sparks
1252276,South East Stars,0.3475889129600319,0.290984239379667,Northern Diamonds,0.3765883533062993,0.58932178379709,Northern Diamonds
1252277,Sunrisers,0.30953328440785405,0.15477261541066228,Lightning,0.38777808197044045,0.48398559488215537,Lightning
1252278,Central Sparks,0.31358481277714123,0.43444355992563743,Thunder,0.28634577252398813,0.3942122297832124,Thunder
1252279,Western Storm,0.4065052723963065,0.2763384342354735,Southern Vipers,0.4109231776364999,0.6489168971770264,Southern Vipers
1252280,Western Storm,0.4182676849700934,0.22263863911375764,Northern Diamonds,0.4444280841985216,0.5537144799767578,Northern Diamonds
1252281,South East Stars,0.3245123876156333,0.30832854322646774,Lightning,0.4027980266280616,0.41005641181585556,South East Stars
1252282,Sunrisers,0.3557582349663417,0.1378153835205331,Central Sparks,0.38767474529346885,0.43457254502249154,Central Sparks
1252283,Thunder,0.30476424684849995,0.40644199598791964,Southern Vipers,0.36246286740913675,0.5686839239960978,Southern Vipers
1252284,Northern Diamonds,0.4077147650251017,0.539886649350545,Thunder,0.2728040367818936,0.4079455244501337,Northern Diamonds
1252285,Central Sparks,0.38767474529346885,0.46774870905883953,South East Stars,0.29588898408602565,0.3562479054479602,Central Sparks
1252286,Western Storm,0.4610040603306716,0.2713220132393655,Lightning,0.4027980266280616,0.47898075437107235,Western Storm
1252287,Southern Vipers,0.41396826323637426,0.5990954236273003,Sunrisers,0.3557582349663417,0.18998563861201137,Southern Vipers
1252288,Lightning,0.3701132797638012,0.3945962435447567,Central Sparks,0.38767474529346885,0.46774870905883953,Lightning
1252289,Thunder,0.24961397048028353,0.40966008525639824,South East Stars,0.2739375622106068,0.2736315632181948,Thunder
1252290,Western Storm,0.4610040603306716,0.2713220132393655,Sunrisers,0.3604929012061382,0.21597348625777263,Western Storm
1252291,Northern Diamonds,0.4077147650251017,0.44584717492799664,Southern Vipers,0.41396826323637426,0.5990954236273003,Southern Vipers
1252292,Central Sparks,0.38767474529346885,0.46774870905883953,Northern Diamonds,0.4077147650251017,0.5866408773786075,Northern Diamonds
1252293,Northern Diamonds,0.44893890223752947,0.5937895325722399,Southern Vipers,0.41396826323637426,0.5990954236273003,Southern Vipers
